"Sub.Num"	"Condition"	"F.4000"	"F.3980"	"F.3947"	"F.3914"	"F.3881"	"F.3848"	"F.3815"	"F.3782"	"F.3749"	"F.3716"	"F.3683"	"F.3650"	"F.3617"	"F.3584"	"F.3551"	"F.3518"	"F.3485"	"F.3452"	"F.3419"	"F.3386"	"F.3353"	"F.3320"	"F.3287"	"F.3254"	"F.3221"	"F.3188"	"F.3155"	"F.3122"	"F.3089"	"F.3056"	"F.3023"	"F.2990"	"F.2957"	"F.2924"	"F.2891"	"F.2858"	"F.2825"	"F.2792"	"F.2759"	"F.2726"	"F.2693"	"F.2660"	"F.2627"	"F.2594"	"F.2561"	"F.2528"	"F.2495"	"F.2462"	"F.2429"	"F.2396"	"F.2363"	"F.2330"	"F.2297"	"F.2264"	"F.2231"	"F.2198"	"F.2165"	"F.2132"	"F.2099"	"F.2066"	"F.2033"	"F.2000"	"F.1967"	"F.1934"	"F.1901"	"F.1868"	"F.1835"	"F.1802"	"F.1769"	"F.1736"	"F.1703"	"F.1670"	"F.1637"	"F.1604"	"F.1571"	"F.1538"	"F.1505"	"F.1472"	"F.1439"	"F.1406"	"F.1373"	"F.1340"	"F.1307"	"F.1274"	"F.1241"	"F.1208"	"F.1175"	"F.1142"	"F.1109"	"F.1076"	"F.1043"	"F.1010"	"F.977"	"F.944"	"F.911"	"F.878"	"F.845"	"F.812"	"F.779"	"F.746"	"F.713"	"F.680"	"F.647"	"F.614"	"F.581"	"F.548"	"F.515"	"F.482"	"F.449"	"F.416"	"F.383"	"F.350"	"F.317"	"F.284"	"F.251"	"F.218"	"F.185"	"F.152"	"F.119"	"F.86"	"F.53"	"F.20"	"0"	"33"	"67"	"100"	"133"	"167"	"200"	"233"	"267"	"300"	"333"	"367"	"400"	"433"	"467"	"500"	"533"	"567"	"600"	"633"	"667"	"700"	"733"	"767"	"800"	"833"	"867"	"900"	"933"	"967"	"1000"	"1033"	"1067"	"1100"	"1133"	"1167"	"1200"	"1233"	"1267"	"1300"	"1333"	"1367"	"1400"	"1433"	"1467"	"1500"	"1533"	"1567"	"1600"	"1633"	"1667"	"1700"	"1733"	"1767"	"1800"	"1833"	"1867"	"1900"	"1933"	"1967"	"2000"
"30053"	"no-pause"	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.45	0.45	0.45	0.45	0.45	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.55	0.55	0.55	0.55	0.55	0.55	0.55	0.55	0.55	0.55	0.55	0.55	0.55	0.55	0.55	0.55	0.55	0.55	0.55	0.555555555555556	0.6	0.555555555555556	0.555555555555556	0.555555555555556	0.555555555555556	0.55	0.55	0.55	0.55	0.55	0.555555555555556	0.6	0.6	0.6	0.611111111111111	0.625	0.7	0.7	0.7	0.6875	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.666666666666667	0.571428571428571	0.5625	0.5625	0.555555555555556	0.55	0.55	0.55	0.55	0.55	0.55	0.55	0.55	0.55	0.55	0.55	0.55	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.55	0.55	0.55	0.555555555555556	0.6	0.6	0.6	0.611111111111111	0.611111111111111	0.65	0.65	0.65	0.65	0.65	0.65	0.65	0.65	0.65	0.65	0.611111111111111	0.5625	0.555555555555556	0.55	0.55	0.55	0.55	0.55	0.55	0.55	0.55	0.55	0.55	0.55	0.55	0.55	0.55	0.55	0.55	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5
"30055"	"no-pause"	0.666666666666667	0.666666666666667	0.6	0.6	0.6	0.571428571428571	0.571428571428571	0.555555555555556	0.555555555555556	0.555555555555556	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.45	0.388888888888889	0.4	0.4	0.4	0.4	0.409090909090909	0.409090909090909	0.409090909090909	0.409090909090909	0.45	0.45	0.45	0.45	0.444444444444444	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.45	0.45	0.454545454545455	0.454545454545455	0.454545454545455	0.454545454545455	0.454545454545455	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.545454545454545	0.545454545454545	0.545454545454545	0.55	0.55	0.590909090909091	0.590909090909091	0.590909090909091	0.590909090909091	0.590909090909091	0.590909090909091	0.590909090909091	0.590909090909091	0.590909090909091	0.590909090909091	0.590909090909091	0.590909090909091	0.590909090909091	0.590909090909091	0.590909090909091	0.590909090909091	0.55	0.55	0.555555555555556	0.6	0.590909090909091	0.55	0.55	0.55	0.545454545454545	0.545454545454545	0.545454545454545	0.545454545454545	0.545454545454545	0.545454545454545	0.545454545454545	0.55	0.55	0.590909090909091	0.6	0.555555555555556	0.590909090909091	0.590909090909091	0.590909090909091	0.590909090909091	0.590909090909091	0.590909090909091	0.590909090909091	0.555555555555556	0.6	0.6	0.611111111111111	0.65	0.681818181818182	0.7	0.727272727272727	0.727272727272727	0.727272727272727	0.727272727272727	0.75	0.772727272727273	0.772727272727273	0.8	0.8	0.8	0.777777777777778	0.777777777777778	0.777777777777778	0.777777777777778	0.75	0.75	0.722222222222222	0.7	0.7	0.681818181818182	0.681818181818182	0.65	0.65	0.65	0.65	0.636363636363636	0.636363636363636	0.636363636363636	0.6	0.6	0.6	0.555555555555556	0.555555555555556	0.55	0.555555555555556	0.55	0.55	0.55
"30066"	"no-pause"	0.5	0.5	0.5	0.5	0.5	0.4375	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.555555555555556	0.555555555555556	0.555555555555556	0.555555555555556	0.555555555555556	0.555555555555556	0.555555555555556	0.555555555555556	0.555555555555556	0.555555555555556	0.555555555555556	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.555555555555556	0.5625	0.5625	0.5625	0.611111111111111	0.611111111111111	0.611111111111111	0.625	0.6875	0.6875	0.6875	0.722222222222222	0.722222222222222	0.722222222222222	0.722222222222222	0.722222222222222	0.722222222222222	0.722222222222222	0.722222222222222	0.75	0.75	0.777777777777778	0.8125	0.833333333333333	0.833333333333333	0.833333333333333	0.833333333333333	0.833333333333333	0.833333333333333	0.833333333333333	0.833333333333333	0.833333333333333	0.875	0.875	0.888888888888889	0.888888888888889	0.888888888888889	0.888888888888889	0.888888888888889	0.888888888888889	0.888888888888889	0.888888888888889	0.888888888888889	0.9375	0.944444444444444	0.944444444444444	0.944444444444444	0.944444444444444	0.944444444444444	0.9375	0.833333333333333	0.833333333333333	0.833333333333333	0.833333333333333	0.8125	0.928571428571429	0.928571428571429	0.928571428571429
"30069"	"no-pause"	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.541666666666667	0.541666666666667	0.541666666666667	0.541666666666667	0.541666666666667	0.541666666666667	0.541666666666667	0.545454545454545	0.545454545454545	0.583333333333333	0.590909090909091	0.590909090909091	0.555555555555556	0.555555555555556	0.625	0.625	0.625	0.636363636363636	0.681818181818182	0.708333333333333	0.708333333333333	0.727272727272727	0.727272727272727	0.75	0.75	0.75	0.772727272727273	0.772727272727273	0.791666666666667	0.791666666666667	0.791666666666667	0.818181818181818	0.818181818181818	0.833333333333333	0.833333333333333	0.818181818181818	0.85	0.888888888888889	0.944444444444444	0.944444444444444	0.95	0.95	0.95	0.944444444444444	0.9	0.833333333333333	0.833333333333333	0.818181818181818	0.818181818181818	0.818181818181818	0.8	0.777777777777778	0.777777777777778	0.75	0.722222222222222	0.666666666666667	0.65	0.65	0.65	0.681818181818182	0.636363636363636	0.636363636363636	0.590909090909091	0.583333333333333	0.583333333333333	0.583333333333333	0.583333333333333	0.545454545454545	0.541666666666667	0.541666666666667	0.541666666666667	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.541666666666667	0.541666666666667	0.541666666666667	0.541666666666667	0.541666666666667	0.541666666666667	0.541666666666667	0.541666666666667	0.541666666666667	0.541666666666667	0.541666666666667	0.541666666666667	0.541666666666667	0.541666666666667	0.541666666666667	0.541666666666667	0.541666666666667	0.541666666666667	0.541666666666667	0.541666666666667	0.541666666666667	0.5	0.545454545454545	0.541666666666667	0.541666666666667	0.541666666666667	0.541666666666667	0.545454545454545	0.545454545454545	0.583333333333333	0.583333333333333	0.583333333333333	0.583333333333333	0.583333333333333	0.583333333333333	0.590909090909091	0.6	0.6	0.6	0.555555555555556
"30070"	"no-pause"	0.428571428571429	0.428571428571429	0.428571428571429	0.428571428571429	0.428571428571429	0.375	0.375	0.428571428571429	0.428571428571429	0.428571428571429	0.428571428571429	0.428571428571429	0.428571428571429	0.428571428571429	0.555555555555556	0.555555555555556	0.555555555555556	0.555555555555556	0.555555555555556	0.6	0.6	0.590909090909091	0.590909090909091	0.590909090909091	0.55	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.545454545454545	0.545454545454545	0.545454545454545	0.545454545454545	0.545454545454545	0.545454545454545	0.555555555555556	0.555555555555556	0.555555555555556	0.5625	0.5625	0.611111111111111	0.6875	0.6875	0.777777777777778	0.8	0.818181818181818	0.818181818181818	0.818181818181818	0.8	0.722222222222222	0.722222222222222	0.75	0.8	0.8	0.8	0.8	0.8	0.8	0.772727272727273	0.772727272727273	0.772727272727273	0.772727272727273	0.772727272727273	0.75	0.777777777777778	0.777777777777778	0.8	0.772727272727273	0.772727272727273	0.75	0.777777777777778	0.7	0.666666666666667	0.666666666666667	0.666666666666667	0.666666666666667	0.666666666666667	0.666666666666667	0.65	0.65	0.722222222222222	0.7	0.7	0.722222222222222	0.722222222222222	0.6875	0.6875	0.666666666666667	0.666666666666667	0.666666666666667	0.666666666666667	0.6875	0.666666666666667	0.666666666666667	0.666666666666667
"30072"	"no-pause"	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.45	0.45	0.454545454545455	0.454545454545455	0.454545454545455	0.454545454545455	0.454545454545455	0.454545454545455	0.454545454545455	0.454545454545455	0.454545454545455	0.454545454545455	0.454545454545455	0.454545454545455	0.454545454545455	0.5	0.5	0.5	0.5	0.545454545454545	0.545454545454545	0.545454545454545	0.545454545454545	0.545454545454545	0.545454545454545	0.545454545454545	0.545454545454545	0.545454545454545	0.545454545454545	0.545454545454545	0.545454545454545	0.545454545454545	0.545454545454545	0.545454545454545	0.545454545454545	0.545454545454545	0.5	0.5	0.5	0.5	0.5	0.545454545454545	0.55	0.590909090909091	0.590909090909091	0.590909090909091	0.590909090909091	0.590909090909091	0.590909090909091	0.590909090909091	0.590909090909091	0.590909090909091	0.590909090909091	0.590909090909091	0.55	0.545454545454545	0.545454545454545	0.545454545454545	0.545454545454545	0.5	0.5	0.5	0.5	0.5	0.55	0.590909090909091	0.611111111111111	0.590909090909091	0.590909090909091	0.590909090909091	0.590909090909091	0.590909090909091	0.590909090909091	0.590909090909091	0.65	0.65	0.65	0.65	0.681818181818182	0.681818181818182	0.65	0.65	0.65	0.65	0.636363636363636	0.65	0.611111111111111	0.65	0.636363636363636	0.636363636363636	0.636363636363636	0.636363636363636	0.65	0.65	0.65	0.65	0.666666666666667	0.7	0.7	0.7	0.7	0.7	0.727272727272727	0.727272727272727	0.727272727272727	0.727272727272727	0.727272727272727	0.75	0.75	0.772727272727273	0.75	0.727272727272727	0.727272727272727	0.7	0.65	0.636363636363636	0.555555555555556	0.55	0.55	0.55	0.545454545454545	0.545454545454545	0.545454545454545	0.545454545454545	0.545454545454545	0.55	0.555555555555556	0.636363636363636	0.6	0.6	0.636363636363636	0.636363636363636	0.636363636363636	0.636363636363636	0.611111111111111	0.65	0.636363636363636	0.636363636363636	0.636363636363636	0.636363636363636	0.636363636363636	0.636363636363636	0.65	0.666666666666667	0.722222222222222	0.75	0.75	0.75	0.75	0.75	0.75	0.75	0.722222222222222	0.7	0.7	0.7	0.7	0.722222222222222	0.75	0.75	0.75	0.727272727272727	0.75	0.714285714285714	0.714285714285714	0.714285714285714	0.714285714285714
"30074"	"no-pause"	0.5	0.5	0.5	0.5	0.571428571428571	0.611111111111111	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.583333333333333	0.583333333333333	0.545454545454545	0.545454545454545	0.545454545454545	0.545454545454545	0.545454545454545	0.545454545454545	0.545454545454545	0.545454545454545	0.545454545454545	0.541666666666667	0.541666666666667	0.541666666666667	0.541666666666667	0.541666666666667	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.541666666666667	0.541666666666667	0.541666666666667	0.541666666666667	0.541666666666667	0.541666666666667	0.541666666666667	0.541666666666667	0.541666666666667	0.541666666666667	0.541666666666667	0.541666666666667	0.541666666666667	0.541666666666667	0.541666666666667	0.541666666666667	0.541666666666667	0.541666666666667	0.541666666666667	0.541666666666667	0.545454545454545	0.583333333333333	0.590909090909091	0.625	0.625	0.625	0.625	0.625	0.636363636363636	0.65	0.727272727272727	0.75	0.75	0.75	0.75	0.772727272727273	0.791666666666667	0.818181818181818	0.85	0.875	0.875	0.875	0.875	0.875	0.875	0.875	0.909090909090909	0.916666666666667	0.916666666666667	0.916666666666667	0.916666666666667	0.954545454545455	0.958333333333333	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.958333333333333	0.958333333333333	0.958333333333333	0.958333333333333	0.958333333333333	0.958333333333333	0.958333333333333	0.958333333333333	0.958333333333333	0.958333333333333	0.958333333333333	0.958333333333333	0.958333333333333	0.958333333333333	0.958333333333333	0.958333333333333	0.958333333333333	0.958333333333333	0.958333333333333	0.954545454545455	0.954545454545455	0.954545454545455	0.954545454545455	0.954545454545455	0.954545454545455	0.954545454545455	0.954545454545455	0.95	0.909090909090909	0.9	0.9	0.863636363636364	0.863636363636364	0.863636363636364	0.863636363636364	0.863636363636364	0.833333333333333	0.833333333333333	0.833333333333333	0.833333333333333	0.833333333333333	0.833333333333333	0.833333333333333	0.833333333333333	0.833333333333333	0.818181818181818	0.8	0.8	0.8	0.777777777777778	0.777777777777778	0.777777777777778	0.75	0.75	0.75	0.7	0.7	0.7	0.666666666666667	0.65	0.65	0.65
"30075"	"no-pause"	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.545454545454545	0.545454545454545	0.545454545454545	0.545454545454545	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.545454545454545	0.545454545454545	0.583333333333333	0.583333333333333	0.590909090909091	0.590909090909091	0.625	0.65	0.681818181818182	0.681818181818182	0.681818181818182	0.708333333333333	0.708333333333333	0.708333333333333	0.708333333333333	0.708333333333333	0.708333333333333	0.708333333333333	0.727272727272727	0.727272727272727	0.75	0.8	0.833333333333333	0.863636363636364	0.863636363636364	0.875	0.85	0.818181818181818	0.833333333333333	0.777777777777778	0.75	0.791666666666667	0.791666666666667	0.791666666666667	0.791666666666667	0.772727272727273	0.75	0.75	0.727272727272727	0.727272727272727	0.727272727272727	0.7	0.708333333333333	0.708333333333333	0.708333333333333	0.708333333333333	0.708333333333333	0.681818181818182	0.636363636363636	0.625	0.625	0.590909090909091	0.583333333333333	0.583333333333333	0.583333333333333	0.583333333333333	0.583333333333333	0.583333333333333	0.583333333333333	0.583333333333333	0.583333333333333	0.583333333333333	0.583333333333333	0.583333333333333	0.590909090909091	0.625	0.625	0.625	0.590909090909091	0.590909090909091	0.625	0.625	0.625	0.636363636363636	0.636363636363636	0.636363636363636	0.636363636363636	0.65	0.681818181818182	0.708333333333333	0.708333333333333	0.727272727272727	0.727272727272727	0.727272727272727	0.75	0.772727272727273	0.772727272727273	0.818181818181818	0.85	0.85	0.85	0.85	0.9	0.909090909090909	0.909090909090909	0.909090909090909	0.95	0.954545454545455	0.954545454545455	0.954545454545455	0.954545454545455	0.958333333333333	0.958333333333333	0.954545454545455	0.909090909090909	0.909090909090909	0.909090909090909	0.909090909090909	0.909090909090909	0.909090909090909	0.909090909090909	0.916666666666667	0.916666666666667	0.916666666666667	0.916666666666667	0.916666666666667	0.916666666666667	0.916666666666667	0.916666666666667	0.916666666666667	0.916666666666667	0.916666666666667	0.916666666666667	0.916666666666667	0.916666666666667	0.909090909090909	0.909090909090909	0.888888888888889	0.888888888888889	0.888888888888889	0.888888888888889
"30076"	"no-pause"	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.541666666666667	0.545454545454545	0.545454545454545	0.545454545454545	0.583333333333333	0.583333333333333	0.583333333333333	0.583333333333333	0.583333333333333	0.583333333333333	0.583333333333333	0.583333333333333	0.583333333333333	0.583333333333333	0.583333333333333	0.583333333333333	0.590909090909091	0.6	0.6	0.636363636363636	0.666666666666667	0.666666666666667	0.666666666666667	0.666666666666667	0.666666666666667	0.666666666666667	0.636363636363636	0.636363636363636	0.636363636363636	0.666666666666667	0.681818181818182	0.7	0.727272727272727	0.772727272727273	0.772727272727273	0.791666666666667	0.791666666666667	0.818181818181818	0.85	0.863636363636364	0.875	0.875	0.875	0.875	0.875	0.875	0.875	0.875	0.875	0.909090909090909	0.909090909090909	0.916666666666667	0.916666666666667	0.916666666666667	0.954545454545455	0.954545454545455	0.954545454545455	1	1	1	1	0.958333333333333	0.958333333333333	0.958333333333333	0.958333333333333	0.958333333333333	0.958333333333333	0.954545454545455	0.954545454545455	0.916666666666667	0.916666666666667	0.916666666666667	0.916666666666667	0.916666666666667	0.909090909090909	0.875	0.863636363636364	0.85	0.8	0.75	0.727272727272727	0.708333333333333	0.708333333333333	0.708333333333333	0.708333333333333	0.708333333333333	0.65	0.625	0.625	0.625	0.625	0.625	0.625	0.625	0.625	0.625	0.625	0.625	0.6	0.611111111111111	0.6	0.6	0.6
"30077"	"no-pause"	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.458333333333333	0.458333333333333	0.458333333333333	0.5	0.5	0.5	0.541666666666667	0.541666666666667	0.541666666666667	0.541666666666667	0.541666666666667	0.541666666666667	0.545454545454545	0.545454545454545	0.545454545454545	0.545454545454545	0.545454545454545	0.545454545454545	0.545454545454545	0.555555555555556	0.625	0.625	0.636363636363636	0.666666666666667	0.666666666666667	0.666666666666667	0.681818181818182	0.708333333333333	0.708333333333333	0.708333333333333	0.708333333333333	0.681818181818182	0.636363636363636	0.590909090909091	0.583333333333333	0.583333333333333	0.545454545454545	0.545454545454545	0.541666666666667	0.541666666666667	0.545454545454545	0.583333333333333	0.545454545454545	0.541666666666667	0.545454545454545	0.590909090909091	0.590909090909091	0.625	0.625	0.590909090909091	0.583333333333333	0.583333333333333	0.583333333333333	0.590909090909091	0.625	0.625	0.625	0.625	0.625	0.590909090909091	0.583333333333333	0.545454545454545	0.541666666666667	0.541666666666667	0.541666666666667	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.541666666666667	0.541666666666667	0.541666666666667	0.541666666666667	0.541666666666667	0.541666666666667	0.541666666666667	0.541666666666667	0.541666666666667	0.541666666666667	0.541666666666667	0.541666666666667	0.541666666666667	0.541666666666667	0.541666666666667	0.541666666666667	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.541666666666667	0.541666666666667	0.541666666666667	0.541666666666667	0.541666666666667	0.541666666666667	0.541666666666667	0.541666666666667	0.541666666666667	0.541666666666667	0.541666666666667	0.541666666666667	0.541666666666667	0.541666666666667	0.541666666666667	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5
