"Sub.Num"	"no-pause"	"no-pause_n"	"no-pause_sd"	"pause"	"pause_n"	"pause_sd"	"vanilla"	"vanilla_n"	"vanilla_sd"
"30053"	0.573010042283298	10	0.127297836143956	0.5	12	0	0.635899409722439	8	0.11640176937731
"30055"	0.675199936699237	11	0.164634927921397	0.634433688166858	10	0.175827847961011	0.644086615139247	8	0.16600962015489
"30066"	0.81986270978519	9	0.198875669244594	0.816930257285214	10	0.205912496002774	0.646774132300448	7	0.122073980607587
"30069"	0.536679292929293	12	0.0782546177582495	0.536997885835095	11	0.122708105351415	0.72446384364989	7	0.105733248699429
"30070"	0.74371702475361	10	0.195118080392583	0.716973257779231	11	0.157166391268873	0.706487932711923	8	0.197811752044659
"30072"	0.652998841169831	11	0.120560052255056	0.631901652866502	11	0.167104934870453	0.69032364969865	8	0.144093616500891
"30074"	0.878321503321503	12	0.18331083846325	0.786196723038828	12	0.230449445226711	0.911963383838384	8	0.179459149901926
"30075"	0.87846657633243	12	0.131330591051204	0.802571998913462	12	0.116574268030347	0.72128514093205	7	0.112899350218122
"30076"	0.825632781301386	12	0.117862693284307	0.661589245164827	12	0.179803510652411	0.639812367864693	8	0.15718847993867
"30077"	0.53202479338843	11	0.0712959620164406	0.5	11	0	0.600852272727273	8	0.0836019259634214
