"Sub.Num"	"vanilla"	"vanilla_n"	"vanilla_sd"
"30004"	0.753346364337878	40	0.12348978551124
"30005"	0.885011729447286	34	0.0871563949530425
"30006"	0.668908811108281	34	0.150544569685835
"30007"	0.760266576328462	25	0.0803155010067335
"30009"	0.655423611420541	24	0.207243347321282
"30010"	0.728538050750969	24	0.130439197341236
"30011"	0.532698099814873	6	0.141361059942322
"30013"	0.623482928766263	27	0.152781492988869
"30014"	0.600309708140672	16	0.11901230123734
"30015"	0.663925161753788	9	0.137979615128508
"30016"	0.598106060606061	22	0.157170359420173
"30017"	0.603737998707045	9	0.179215931673637
"30018"	0.614274382243666	27	0.166295360000611
"30019"	0.745461233091558	24	0.201769444404089
"30020"	0.623657999629218	8	0.190993241602064
"30021"	0.857440722360077	36	0.0692018149612376
"30022"	0.686557080006914	22	0.0878900087953656
"30023"	0.49134091458103	15	0.0963535452520183
"30024"	0.573487839004625	21	0.207438081066461
"30025"	0.368817204301075	7	0.166259257516412
"30026"	0.710529250197149	13	0.126750320097115
"30027"	0.709221528681105	31	0.0683060527748846
"30028"	0.616076104917091	12	0.151064191989531
"30029"	0.685823008238233	28	0.152364881745346
"30030"	0.713427405141464	23	0.195781555821937
"30031"	0.702230544563784	22	0.208513219100143
"30036"	0.732018596635022	19	0.114734811296856
"30037"	0.628725363847015	15	0.168895150530336
"30038"	0.585790206168037	22	0.209131011043605
"30039"	0.716179971163287	11	0.126489699585223
"30041"	0.642126728646991	15	0.151882917472345
"30042"	0.615340983378924	10	0.237260860761675
"30043"	0.580505120993977	10	0.263619749010229
"30044"	0.592065928389605	32	0.0519528096171941
"30046"	0.648618217772834	15	0.161570261857061
"30048"	0.682671383850103	22	0.168373512810763
"30050"	0.521683605922493	16	0.195871890238055
"30058"	0.548719046179446	24	0.255243506518686
"30059"	0.810922189597755	36	0.0777354863119178
"30060"	0.912233370250949	35	0.0451446450430892
