mean_rt,ci.high.rt,ci.low.rt,Experiment,trial_type,age_group,mean_prop,ci.high,ci.low
881.8,49.1,49.1,Trio-Face,Center-Target,> 24 Months,0.6261,0.03634,0.03634
443.9,52.1,52.1,Trio-Bull,Center-Target,> 24 Months,0.531,0.05,0.05
