"window","zbeta0","zbeta1","zbeta1_prior","zbeta0_prior","beta1","beta1_prior","beta0","beta0_prior"
"600_2200",0.0895415153727022,-0.221752948093289,-0.172146485849466,3.10911707993138,-378.858030708603,-294.106929279236,1478.45672531425,2125.02268208884
"600_2200",-0.100645487052099,-0.394838568643145,-0.285865739965742,-13.2395994949725,-674.56944248162,-488.392746169565,1624.68716717132,-1545.98827083816
"600_2200",-0.0261249729215683,-0.532286474620162,-1.07269058146847,8.93463021631724,-909.394924763673,-1832.6585722948,1793.18069342509,4468.26328906143
"600_2200",-0.257872454607281,-0.356418381181077,-0.214675014654537,4.37188422339626,-608.929744400983,-366.765601060434,1545.91825129283,2465.0122633444
"600_2200",-0.217191750960419,-0.295490751118364,-0.975632259772624,-4.76022665102685,-504.836779054742,-1666.83744144742,1488.34484940876,1181.61539336486
"600_2200",-0.0732522253489614,-0.25657681905492,-0.0700715642079572,8.6937334182011,-438.353533643805,-119.715093092381,1478.96235814094,3309.46547232881
"600_2200",-0.161162807028092,-0.384916885551336,-1.7812786779809,-1.94206325278815,-657.618554794227,-3043.25934733082,1599.72164121379,2722.17690752298
"600_2200",0.0100649833220574,-0.0555124554867719,-1.19387768090666,1.73770073180349,-94.8413076189172,-2039.70297118651,1277.14111313408,2930.47152709927
"600_2200",0.0596013853496749,-0.353134197920859,-0.919164957125274,4.40285376834646,-603.318819210808,-1570.36480708406,1616.02173842895,3247.12934847769
"600_2200",-0.193225556283522,-0.479706491118165,-0.125452146427438,7.21832093329585,-819.56365453462,-214.331099326228,1696.54364990274,3027.79881549764
"600_2200",-0.252614084841793,-0.517347258843542,-0.220642402561547,13.9693246675626,-883.871738180918,-376.960698128424,1724.15805312655,4700.05972651306
"600_2200",-0.215778323809427,-0.297875422843329,-1.32896132915014,16.5802097304041,-508.910916699246,-2270.48919249496,1491.2961363967,6525.42636430371
"600_2200",-0.244736808407648,-0.0672803163658605,-1.26955662170683,1.19544133759727,-114.946332768025,-2168.9980931869,1230.92169057155,2887.80673670971
"600_2200",-0.0486496145649388,-0.55784702127241,-0.766746611499135,15.885065826026,-953.064325562044,-1309.96279320197,1816.06670605639,5745.59106854019
"600_2200",0.048280193933872,-0.42871696509656,-1.20885391249263,9.08546303422906,-732.449631558099,-2065.28939813092,1696.53267352421,4653.06318747301
"600_2200",0.142536135514592,-0.20951656624076,-0.468466742601321,-1.28857686048355,-357.95255201482,-800.360892968808,1477.30204599628,1429.84437783122
"600_2200",-0.0228313821551612,-0.482759093369284,-0.155133954720514,10.0627686108002,-824.77893075683,-265.04154775307,1739.46623427562,3720.91649948248
"600_2200",0.115452328235691,-0.582028305740208,-1.71347664053612,15.1774774039326,-994.377299717501,-2927.42167028874,1880.76942723698,6622.67792206682
"600_2200",-0.0611415094821688,-0.545002412614145,-0.167181623866744,14.1071346138903,-931.119710244255,-285.624616643994,1799.03730766517,4673.25270781519
"600_2200",-0.211819304015023,-0.373961329807643,-0.467378979526782,2.97186177922715,-638.901327762693,-798.502483509808,1575.90851390125,2417.9029657634
"600_2200",-0.325168240132226,-0.342076111246231,-0.987323039613477,0.780937534480097,-584.426421265361,-1686.81077603457,1514.51623052311,2481.1089824603
"600_2200",-0.196283993732667,-0.525867015986634,-0.107288152065256,0.567614469087657,-898.427478887416,-183.298478596587,1746.6092299789,1463.5539729832
"600_2200",0.0347692558097098,-0.235350272257012,-0.354227689502219,5.12714387315698,-402.088637110316,-605.187015645952,1480.69565631048,2793.88562922794
"600_2200",0.165233393293012,-0.293066895640455,-1.49195042899197,4.38301279278693,-500.695697184225,-2548.95101193858,1574.47608851195,3872.57593775988
"600_2200",-0.377602543813993,-0.267975668179729,-0.229220119200962,-5.25774901477623,-457.828113661352,-391.615460835877,1420.83207946698,245.053142778558
"600_2200",-0.0233743133209245,-0.28715911287383,-0.397327952655603,-10.4640647065309,-490.602433649004,-678.822477820029,1524.18375551619,-778.914902612291
"600_2200",-0.0583400559828509,-0.401634280817843,-1.1140944007531,-12.3574917779581,-686.179705857624,-1903.39571276065,1641.98546163283,-430.130312656808
"600_2200",-0.107277416587187,-0.210627034709351,-0.828219605644653,-14.7032451739916,-359.849752934996,-1414.98749616076,1420.51793337361,-1289.26099339293
"600_2200",-0.267204585930802,-0.667683323415649,-0.207677107265953,-6.44050448996899,-1140.71623949645,-354.809893435727,1886.13713319678,-53.2743951648126
"600_2200",-0.0207497542771146,-0.345874113754374,-0.351597983946513,-7.529403211859,-590.915190696539,-600.694245305152,1589.37859710522,-147.801547053615
"600_2200",-0.352302997965519,-0.407023058013723,-0.504958019492998,0.373878720583755,-695.386264480238,-862.705107195024,1579.65611652545,1855.99898874963
"600_2200",-0.120982737610861,-0.422612913564872,-1.39687694265285,20.2566024051858,-722.021048928089,-2386.52091070769,1650.51622012493,7453.77450503095
"600_2200",-0.320821148549252,-0.280550044154428,-0.3778803371731,-11.3809673850923,-479.311044824729,-645.59683023775,1447.84805395305,-1013.20769295454
"600_2200",0.0851159412555634,-0.0230081594003,-0.79142981125309,-6.43474886912845,-39.308726380315,-1352.13327404914,1258.81348226018,590.179366571278
"600_2200",-0.00605483478687709,-0.306525151447882,-0.275373100988852,-12.216730344614,-523.688709614568,-470.466398069568,1549.50755159748,-1320.02426602538
"600_2200",-0.118117929544623,-0.201540972925437,-2.26727404989798,-10.4708560072406,-344.326498322381,-3873.56735956316,1408.006311647,1276.41480293242
"600_2200",-0.510291045772787,-0.0252173772397313,-0.57602794803479,11.8514944842264,-43.08310650581,-984.125874772,1122.99269883193,4599.22649669446
"600_2200",0.0935891195328284,-0.150582659316475,-0.538738916276835,22.7176056599741,-257.265800784322,-920.418721111494,1401.11054105404,7081.27244894695
"600_2200",0.0155331558387232,-0.43494046730469,-0.723632691548856,2.21285287321056,-743.082291962193,-1236.30399881418,1695.77469432301,2523.53884862208
"600_2200",0.0131842230731169,-0.0898785658389251,-0.664467045947589,10.8509889172076,-153.554740757375,-1135.22132924502,1315.66748173405,4464.19490131564
"600_2200",-0.278440097660552,-0.126957002761157,-0.512848513731639,-8.25692069270922,-216.902099675915,-876.18577175562,1288.73920215135,-139.355262267095
"600_2200",0.0025044582892203,-0.204728787684678,-0.585606842608104,-31.6653098742322,-349.772780919002,-1000.49111891245,1439.52083751716,-5494.64740499845
"600_2200",0.0366671159745506,-0.140940164253698,-1.54974555460607,7.39067071126033,-240.79189718118,-2647.69219063761,1377.28693349239,4634.51445813631
"600_2200",-0.13578338793955,-0.167108392104672,-1.83132370583337,-1.91780551257363,-285.499502450913,-3128.75972449365,1366.02925877331,2782.85806633305
"600_2200",0.0512010801451534,-0.514842840510582,-1.57273701156515,3.60913938989135,-879.593017172453,-2686.97238141538,1791.94778323269,3781.74970641723
"600_2200",-0.179055687891474,-0.349194025010711,-1.03646618725154,12.4104060678125,-596.587156059426,-1770.77031883688,1556.27249767496,5235.47697617668
"600_2200",0.0961288795105724,-0.254590406850171,-0.128904364869948,-7.7436098337251,-434.959810031391,-220.22910741113,1516.1068882524,-442.498303228126
"600_2200",-0.285800504108457,-0.147143970748305,-1.45019446358891,-8.47888431358503,-251.39090806989,-2477.61224075667,1309.23544491186,840.16921748306
"600_2200",-0.290807319385868,-0.369758517991985,-0.0481600340710021,15.5505798859767,-631.720954191067,-82.2799237795174,1552.94482788071,4877.49277039119
"600_2200",0.00485164489702922,-0.24368626597493,-1.17465188125102,12.7215747808859,-416.330423707177,-2006.85628906138,1482.91835980003,5459.73072641756
"600_2200",0.26583711575802,-0.146914556407638,-0.396722348922873,3.75390499526588,-250.998960787707,-677.787822634858,1437.07092161181,2521.76895425864
"600_2200",-0.0385008439064327,-0.614149677213945,-1.00042512841873,0.794254412358692,-1049.2556661376,-1709.19528819374,1880.35510102498,2498.61316173299
"600_2200",-0.0638281009106599,-0.218750882406239,-0.0869636295121197,-10.4472528561503,-373.72909463793,-148.574662495011,1439.54275766913,-1116.40636207885
"600_2200",0.0218283875537787,-0.337802020034573,-1.00690250016022,-2.79158223729919,-577.124269057506,-1720.26167681787,1590.38589837905,1673.12265911861
"600_2200",-0.257169530156477,-0.181057255288517,-0.571594374103688,-0.972051699742725,-309.330702360066,-976.551251286807,1353.18742581167,1616.77864205583
"600_2200",0.0732549724474107,-0.200200704992852,-0.226268160667412,-4.38368649635149,-342.036692148767,-386.572131282107,1450.96798721472,444.759513373407
"600_2200",-0.27236824562789,-0.241448426916593,-0.811850516291307,14.8574673750683,-412.507145117313,-1387.02141494188,1416.0875387391,5556.60070232926
"600_2200",-0.327351349086886,-0.518712640497486,-0.508553753860694,4.77908868530574,-886.204450368182,-868.848307784734,1708.30628411734,2882.82460319973
"600_2200",0.00566453159152966,-0.349826020734002,-0.167844735160476,4.27334391654962,-597.666901141513,-286.757521712648,1599.85890369871,2390.61918396915
"600_2200",-0.132205740647143,-0.233776872559689,-0.573424071402252,4.17455143019526,-399.400532550847,-979.677232344949,1440.19408579116,2813.80987898139
"600_2200",0.135790615543917,-0.336723146597519,-1.7538830512161,-4.80968116849036,-575.2810472683,-2996.45476910363,1615.66068520694,2026.1939541721
"600_2200",-0.244532050336299,-0.345978940091353,-0.601631883619117,-17.645969644629,-591.094283240451,-1027.86940421445,1537.53263959513,-2221.79103163823
"600_2200",-0.11788199776411,-0.452660090492946,-0.240025750787937,-12.9243293066152,-773.355718330247,-410.076547097882,1684.28754510116,-1523.20707257591
"600_2200",-0.136753516136098,-0.325211472958765,-0.262942970142673,-0.666339714864866,-555.613710069681,-449.229905232267,1539.71450581211,1348.25270261744
"600_2200",-0.221963216351073,-0.549504354874482,-0.208169190077158,37.7806852664851,-938.811138898442,-355.650601649087,1766.64726930846,10215.2325883746
"600_2200",0.124410558889161,-0.101171945465817,-0.478525903050848,-10.997165489027,-172.849129410504,-817.546656455868,1353.9162592461,-813.382293721268
"600_2200",-0.188613294233632,-0.200142822288267,-1.06798031955922,-5.58782179046639,-341.937801344114,-1824.61123598472,1390.09965791378,1091.03262531197
"600_2200",0.0265402159006195,-0.402713368213088,-0.626005565489461,-21.0371248222196,-688.02329318776,-1069.51108336196,1662.88126377808,-2982.3917381076
"600_2200",-0.221833876536269,-0.351364456347816,-0.515139210018114,-22.9118680648312,-600.295270649261,-880.099355279573,1548.72702538424,-3539.64984052833
"600_2200",-0.30238793082854,-0.336637959858448,-0.425667040868534,5.93426539903897,-575.135508367986,-727.238930655244,1513.82385073409,3059.87768052511
"600_2200",-0.0227211009582558,-0.367271322352068,-0.623544641422321,1.59993433790957,-627.471657619239,-1065.306670957,1612.45739844083,2271.12683096527
"600_2200",0.0809080050598826,-0.0418219465333704,-0.884379718186145,-1.29055615297092,-71.4514978956111,-1510.93530576053,1278.53124083851,1886.8814853934
"600_2200",0.0826657078703696,-0.366562476490274,-0.105217961921555,-4.15501129366841,-626.260616460218,-179.761622975147,1636.14803425546,364.703877598282
"600_2200",-0.181750334527476,-0.325432136521637,-0.40249697972081,2.42485916065968,-555.990706919544,-687.65360016335,1529.5091684504,2219.52234746743
"600_2200",-0.15672293290674,-0.459823899913055,-0.163364387654266,-9.43632336148864,-785.594864427788,-279.10298702579,1683.14891060716,-797.633540124011
"600_2200",0.0700130151303034,-0.364298065389235,-0.574270556666828,-12.1404790818513,-622.39194035994,-981.123426152601,1630.71932374097,-973.537306294701
"600_2200",-0.222644951848249,-0.374502692296652,-0.677857365685913,-6.58165592084897,-639.826228776407,-1158.0982750094,1573.99033497224,431.140575941876
"600_2200",0.103951592977149,-0.65808557291984,-0.808408670470785,0.858641856904296,-1124.31878059753,-1381.14112815978,1961.76061439553,2302.34904000998
"600_2200",-0.0567403021135953,-0.285880815454511,-1.90435026564543,-7.63883967979022,-488.418502174327,-3253.52333588058,1515.03021586251,1534.7869879821
"600_2200",-0.339051714189954,-0.222358573700739,-0.0413518329606119,-6.80879372918237,-379.892723266056,-70.6483234444207,1379.60544021897,-321.74430558153
"600_2200",-0.322689387177289,-0.418832326274599,-1.39150957608414,-14.4732378625193,-715.562032856238,-2377.35093147723,1599.5222464498,-616.245609575783
