"Sub.Num"	"Condition"	"Months"	"Response"	"Accuracy"	"n"	"sd"
"30025"	"van"	"13"	"D"	1389	6	1087.10901017331
"30023"	"van"	"14"	"D"	1743	7	817.710421441071
"30011"	"van"	"16"	"D"	2108.25	4	779.062845132963
"30035"	"van"	"16"	"D"	1481	14	849.636030671596
"30031"	"van"	"17"	"D"	1166.6	20	437.93515501727
"30018"	"van"	"18"	"D"	1092.04	25	527.979046301398
"30030"	"van"	"20"	"D"	1531.7619047619	21	844.866019245768
"30015"	"van"	"21"	"D"	1527.75	12	708.916090046821
"30024"	"van"	"21"	"D"	1311.76470588235	17	752.574458891923
"30037"	"van"	"21"	"D"	1222.16666666667	12	672.272919868024
"30032"	"van"	"24"	"D"	1650	8	1121.7291498906
"30036"	"van"	"24"	"D"	994	11	374.394978598805
"30013"	"van"	"25"	"D"	1620.57142857143	21	733.946085991919
"30028"	"van"	"27"	"D"	1499.92307692308	13	683.166702635414
"30019"	"van"	"29"	"D"	869.904761904762	21	345.691177897543
"30016"	"van"	"31"	"D"	1597.66666666667	15	815.602202290401
"30014"	"van"	"33"	"D"	1372.16666666667	12	562.883458522977
"30020"	"van"	"35"	"D"	1490.57142857143	7	631.154195936
"30029"	"van"	"35"	"D"	1114.6	25	372.275659514111
"30026"	"van"	"36"	"D"	1146	13	342.980320135135
"30009"	"van"	"39"	"D"	1206.91666666667	24	700.13141106054
"30034"	"van"	"42"	"D"	1043.84210526316	19	491.632005914755
"30010"	"van"	"44"	"D"	1342.72	25	621.160776289038
