"Sub.Num"	"Condition"	"Months"	"Accuracy"	"n"	"sd"
"30025"	"van"	"13"	0.491058937808943	17	0.23555511163864
"30023"	"van"	"14"	0.513464494819592	22	0.115840877951104
"30011"	"van"	"16"	0.498736768106039	11	0.303661314338954
"30035"	"van"	"16"	0.583292156084539	24	0.190497066001788
"30031"	"van"	"17"	0.737398562808679	24	0.177946300654923
"30018"	"van"	"18"	0.613748401568523	29	0.153122932974277
"30030"	"van"	"20"	0.549780998742733	27	0.201231230091436
"30015"	"van"	"21"	0.679991902616757	16	0.192474673012654
"30024"	"van"	"21"	0.562352332153713	24	0.237989439611791
"30037"	"van"	"21"	0.649611072122966	17	0.129625085038413
"30032"	"van"	"24"	0.555247797565888	16	0.295949903012006
"30036"	"van"	"24"	0.69449391847024	11	0.138451691842176
"30013"	"van"	"25"	0.650165422328922	27	0.173308089317145
"30028"	"van"	"27"	0.609498742570587	18	0.183657473491865
"30019"	"van"	"29"	0.708191018652569	26	0.202622828053869
"30016"	"van"	"31"	0.614047264291162	23	0.175380803665762
"30014"	"van"	"33"	0.562587590381148	22	0.154650953015342
"30020"	"van"	"35"	0.707404636559131	15	0.15122616940135
"30029"	"van"	"35"	0.664957783390637	31	0.183170476639704
"30026"	"van"	"36"	0.705470320842238	24	0.141529440296692
"30009"	"van"	"39"	0.643306894292388	27	0.20130614318823
"30034"	"van"	"42"	0.713127759244804	21	0.101369016879623
"30010"	"van"	"44"	0.724095007653717	30	0.109501380762721
