"Condition"	"group"	"mean"	"se"
"van"	"13"	0.523594466286979	NA
"van"	"14"	0.441346782478752	NA
"van"	"16"	0.456730769230769	NA
"van"	"17"	1	NA
"van"	"21"	0.434510076052972	0.210980664288266
"van"	"27"	0.485889038981052	NA
"van"	"29"	0.481827731092437	NA
"van"	"33"	0.431527093596059	NA
"van"	"36"	0.762950296397629	NA
"van"	"39"	0.630813953488372	NA
"van"	"44"	0.644962812711291	NA
