"Condition"	"group"	"dodg"	"mean"	"se"
"van"	"13"	"D"	1154.25	NA
"van"	"14"	"D"	1591.75	NA
"van"	"16"	"D"	1781.925	326.325
"van"	"17"	"D"	1090.81818181818	NA
"van"	"18"	"D"	1098.76923076923	NA
"van"	"20"	"D"	1551.41666666667	NA
"van"	"21"	"D"	1282.00773300773	85.2040725745157
"van"	"24"	"D"	1265.04166666667	271.041666666667
"van"	"25"	"D"	1620.57142857143	NA
"van"	"27"	"D"	1339.5	NA
"van"	"29"	"D"	869.904761904762	NA
"van"	"31"	"D"	1552	NA
"van"	"33"	"D"	1345.21428571429	NA
"van"	"35"	"D"	1160.08928571429	42.2678571428571
"van"	"36"	"D"	1123.7619047619	NA
"van"	"39"	"D"	1181.32	NA
"van"	"42"	"D"	1006.33333333333	NA
"van"	"44"	"D"	1344.07142857143	NA
