"Sub.Num"	"H"	"H_n"	"H_sd"	"L"	"L_n"	"L_sd"
"30009"	0.624796074254455	30	NA	NA	NA	NA
"30010"	0.65444810968761	31	NA	NA	NA	NA
"30011"	NA	NA	NA	0.487970992085899	11	NA
"30013"	0.603281434154209	28	0.143732436259941	NA	NA	NA
"30014"	0.585551039340887	24	0.131922447642053	NA	NA	NA
"30015"	NA	NA	NA	0.576313913786298	17	0.210845179871727
"30016"	0.595445134575569	23	0.134438558830554	NA	NA	NA
"30018"	NA	NA	NA	0.601782673770753	29	0.193562452813029
"30019"	0.712182641741912	26	0.205492433369405	NA	NA	NA
"30020"	0.665471686098261	15	0.16833278320969	NA	NA	NA
"30023"	NA	NA	NA	0.474207936548563	23	0.148463573289895
"30024"	NA	NA	NA	0.554357981801908	24	0.225548881116393
"30025"	NA	NA	NA	0.512667425897278	17	0.26190664527766
"30026"	0.693666864853987	25	0.148246457622041	NA	NA	NA
"30028"	0.555807497640204	20	0.188665981292793	NA	NA	NA
"30029"	0.6703861772232	31	0.1400819739203	NA	NA	NA
"30030"	NA	NA	NA	0.535388605544851	28	0.252179537462958
"30031"	NA	NA	NA	0.686622521348965	24	0.211216729674803
"30032"	NA	NA	NA	0.525291104862249	16	0.283760163396472
"30034"	0.705561253499231	21	0.155989361247768	NA	NA	NA
"30035"	NA	NA	NA	0.57639845521542	24	0.210089206854475
"30036"	NA	NA	NA	0.704169716946036	11	0.173347475654492
"30037"	NA	NA	NA	0.653387735760354	17	0.184833419385914
