"Sub.Num"	"vanilla"	"vanilla_n"	"vanilla_sd"
"30009"	0.630813953488372	2	0.127443664051064
"30010"	0.644962812711291	2	0.0469492129225956
"30011"	0.456730769230769	4	0.532099549864938
"30014"	0.431527093596059	4	0.244813957258105
"30015"	0.645490740341239	7	0.258964286211513
"30019"	0.481827731092437	2	0.10056959892086
"30023"	0.441346782478752	3	0.132949618945438
"30024"	0.223529411764706	2	0.316118325706927
"30025"	0.523594466286979	9	0.255529514131073
"30026"	0.762950296397629	3	0.0726222580443809
"30028"	0.485889038981052	4	0.317843382458782
"30031"	1	1	NA
