"Sub.Num"	"H_D"	"H_D_n"	"H_D_sd"	"L_D"	"L_D_n"	"L_D_sd"
"30009"	1214.76	25	697.438425000133	NA	NA	NA
"30010"	1377.39285714286	28	607.459880661889	NA	NA	NA
"30011"	NA	NA	NA	2141.5	4	779.073595154313
"30013"	1654.04761904762	21	733.798029173592	NA	NA	NA
"30014"	1378.57142857143	14	543.638838580529	NA	NA	NA
"30015"	NA	NA	NA	1561.08333333333	12	709.021535553602
"30016"	1585.5	16	808.855322868888	NA	NA	NA
"30018"	NA	NA	NA	1132.11538461538	26	518.495541112791
"30019"	903.095238095238	21	345.713451396081	NA	NA	NA
"30020"	1235.71428571429	14	573.949398543035	NA	NA	NA
"30023"	NA	NA	NA	1625	8	869.561137257508
"30024"	NA	NA	NA	1313.05555555556	18	742.567522952486
"30025"	NA	NA	NA	1333.28571428571	7	1019.8130080699
"30026"	1157.14285714286	21	342.83032037938	NA	NA	NA
"30028"	1453.4	15	672.426607784926	NA	NA	NA
"30029"	1151.28571428571	28	365.26782230383	NA	NA	NA
"30030"	NA	NA	NA	1584.66666666667	24	859.144704452286
"30031"	NA	NA	NA	1174.61904761905	21	442.412983104076
"30032"	1569.41666666667	12	1006.11660794755	NA	NA	NA
"30034"	1039.71428571429	21	486.123661515992	NA	NA	NA
"30035"	NA	NA	NA	1488.8	15	824.569515392296
"30036"	1027.27272727273	11	374.453225626136	NA	NA	NA
"30037"	NA	NA	NA	1168.92857142857	14	657.152419304534
