"Sub.Num"	"Condition"	"Months"	"Response"	"Accuracy"	"n"	"sd"
"30025"	"van"	"13"	"D"	1154.25	8	NA
"30023"	"van"	"14"	"D"	1591.75	8	NA
"30011"	"van"	"16"	"D"	2108.25	4	NA
"30035"	"van"	"16"	"D"	1455.6	15	NA
"30031"	"van"	"17"	"D"	1090.81818181818	22	NA
"30018"	"van"	"18"	"D"	1098.76923076923	26	NA
"30030"	"van"	"20"	"D"	1551.41666666667	24	NA
"30015"	"van"	"21"	"D"	1430.76923076923	13	NA
"30024"	"van"	"21"	"D"	1279.61111111111	18	NA
"30037"	"van"	"21"	"D"	1135.64285714286	14	NA
"30032"	"van"	"24"	"D"	1536.08333333333	12	NA
"30036"	"van"	"24"	"D"	994	11	374.394978598805
"30013"	"van"	"25"	"D"	1620.57142857143	21	NA
"30028"	"van"	"27"	"D"	1339.5	16	NA
"30019"	"van"	"29"	"D"	869.904761904762	21	NA
"30016"	"van"	"31"	"D"	1552	16	NA
"30014"	"van"	"33"	"D"	1345.21428571429	14	NA
"30020"	"van"	"35"	"D"	1202.35714285714	14	NA
"30029"	"van"	"35"	"D"	1117.82142857143	28	NA
"30026"	"van"	"36"	"D"	1123.7619047619	21	NA
"30009"	"van"	"39"	"D"	1181.32	25	NA
"30034"	"van"	"42"	"D"	1006.33333333333	21	486.080891759112
"30010"	"van"	"44"	"D"	1344.07142857143	28	NA
