hearing_status,posterior_sample,age_group,measure,prob_acc,Intercept,b_Hearing,sigma
hearing,0.8320166332604807,kids,accuracy,0.6967811673981132,NA,NA,NA
hearing,0.6901281000243404,kids,accuracy,0.6659954226342016,NA,NA,NA
hearing,0.8340110815388371,kids,accuracy,0.6972023833361913,NA,NA,NA
hearing,0.8134369381669672,kids,accuracy,0.6928414110162638,NA,NA,NA
hearing,0.46811387470582955,kids,accuracy,0.6149372387868697,NA,NA,NA
hearing,0.8399922387796365,kids,accuracy,0.6984635813973079,NA,NA,NA
hearing,0.72427436727836,kids,accuracy,0.6735475665276084,NA,NA,NA
hearing,0.7522127516793307,kids,accuracy,0.679660655407081,NA,NA,NA
hearing,0.7486988249250246,kids,accuracy,0.6788951135645991,NA,NA,NA
hearing,0.7086166692483739,kids,accuracy,0.6700954222607245,NA,NA,NA
hearing,0.8739370498883045,kids,accuracy,0.7055642552943928,NA,NA,NA
hearing,0.529143153393536,kids,accuracy,0.6292832439374149,NA,NA,NA
hearing,0.6094013507691685,kids,accuracy,0.647804230006532,NA,NA,NA
hearing,0.9333179845179658,kids,accuracy,0.7177479475156108,NA,NA,NA
hearing,0.824866005056554,kids,accuracy,0.6952682805417192,NA,NA,NA
hearing,0.8316833285230494,kids,accuracy,0.6967107430973783,NA,NA,NA
hearing,0.6395840492191783,kids,accuracy,0.6546594283124604,NA,NA,NA
hearing,0.7176307634580047,kids,accuracy,0.6720850818289408,NA,NA,NA
hearing,0.6883427390262794,kids,accuracy,0.6655981594511092,NA,NA,NA
hearing,0.6343841820290291,kids,accuracy,0.6534828964137994,NA,NA,NA
hearing,0.8841178940375074,kids,accuracy,0.7076748225685131,NA,NA,NA
hearing,0.8618893522297425,kids,accuracy,0.7030552429684908,NA,NA,NA
hearing,0.7127868611479539,kids,accuracy,0.6710166615575969,NA,NA,NA
hearing,0.7423825485334534,kids,accuracy,0.6775166341447528,NA,NA,NA
hearing,0.8266891011582987,kids,accuracy,0.6956544028934598,NA,NA,NA
hearing,0.6695035398984035,kids,accuracy,0.6613919845689574,NA,NA,NA
hearing,0.6025503201899335,kids,accuracy,0.6462395623149726,NA,NA,NA
hearing,0.709362742413489,kids,accuracy,0.6702603338899283,NA,NA,NA
hearing,1.1098456125643972,kids,accuracy,0.7521003277289132,NA,NA,NA
hearing,0.7173441659123166,kids,accuracy,0.6720219164197321,NA,NA,NA
hearing,0.6749642727819691,kids,accuracy,0.6626138501562459,NA,NA,NA
hearing,0.9732124468798798,kids,accuracy,0.7257593433179107,NA,NA,NA
hearing,0.6950141893808324,kids,accuracy,0.6670814283346586,NA,NA,NA
hearing,0.7948684934837407,kids,accuracy,0.6888757334170624,NA,NA,NA
hearing,0.5154151819045081,kids,accuracy,0.6260750590458757,NA,NA,NA
hearing,0.6430329854743618,kids,accuracy,0.6554387489414735,NA,NA,NA
hearing,0.6241960214794879,kids,accuracy,0.6511722656031697,NA,NA,NA
hearing,0.702914061081342,kids,accuracy,0.6688335400695418,NA,NA,NA
hearing,0.6813799673203926,kids,accuracy,0.6640466221866673,NA,NA,NA
hearing,0.9916447741530142,kids,accuracy,0.7294126736022045,NA,NA,NA
hearing,0.5658529399799349,kids,accuracy,0.6378057130836365,NA,NA,NA
hearing,0.4620513461080162,kids,accuracy,0.6135006994934593,NA,NA,NA
hearing,0.746786392046592,kids,accuracy,0.6784780672624736,NA,NA,NA
hearing,0.5000599060042217,kids,accuracy,0.6224734092319485,NA,NA,NA
hearing,0.8252778936496101,kids,accuracy,0.6953555404814818,NA,NA,NA
hearing,0.7545363579561362,kids,accuracy,0.6801663443937358,NA,NA,NA
hearing,0.9267632544332315,kids,accuracy,0.7164181588537779,NA,NA,NA
hearing,0.7106747462684162,kids,accuracy,0.6705502369224836,NA,NA,NA
hearing,0.8214920191845914,kids,accuracy,0.6945529625514087,NA,NA,NA
hearing,0.5083102298512698,kids,accuracy,0.624410269436599,NA,NA,NA
hearing,0.6922478935125127,kids,accuracy,0.6664667951570639,NA,NA,NA
hearing,0.663725268371736,kids,accuracy,0.6600967211635766,NA,NA,NA
hearing,0.6940160601336293,kids,accuracy,0.6668597230471043,NA,NA,NA
hearing,0.689721351385007,kids,accuracy,0.6659049371135612,NA,NA,NA
hearing,0.6675222643172725,kids,accuracy,0.6609481309147869,NA,NA,NA
hearing,0.6938933898180258,kids,accuracy,0.6668324703178432,NA,NA,NA
hearing,0.7927314989940488,kids,accuracy,0.6884175352607583,NA,NA,NA
hearing,0.8243249338073778,kids,accuracy,0.69515363150424625,NA,NA,NA
hearing,0.8442123289793538,kids,accuracy,0.6993516388109827,NA,NA,NA
hearing,0.7489777128533217,kids,accuracy,0.6789559071340656,NA,NA,NA
hearing,0.4149579057735314,kids,accuracy,0.6022760936978443,NA,NA,NA
hearing,0.596514510727169,kids,accuracy,0.6448584769728604,NA,NA,NA
hearing,0.8467805825836868,kids,accuracy,0.6998913604243157,NA,NA,NA
hearing,0.8064452826420934,kids,accuracy,0.6913514987402267,NA,NA,NA
hearing,0.69973288469114725,kids,accuracy,0.6681285466051522,NA,NA,NA
hearing,0.827796282628191,kids,accuracy,0.6958887638473559,NA,NA,NA
hearing,0.6901555723544471,kids,accuracy,0.66600153370308,NA,NA,NA
hearing,0.8033131562873771,kids,accuracy,0.6906827509399318,NA,NA,NA
hearing,0.6944894164600095,kids,accuracy,0.6669648745554655,NA,NA,NA
hearing,0.5316824100800033,kids,accuracy,0.6298754218533636,NA,NA,NA
hearing,0.48478686077898275,kids,accuracy,0.6188775833267345,NA,NA,NA
hearing,0.7236451968250797,kids,accuracy,0.6734092086439439,NA,NA,NA
hearing,0.7345837376243677,kids,accuracy,0.67581033517492,NA,NA,NA
hearing,0.5710858904041451,kids,accuracy,0.6390137009183368,NA,NA,NA
hearing,0.5277847716492484,kids,accuracy,0.6289662970951041,NA,NA,NA
hearing,0.7597727566577973,kids,accuracy,0.6813043947668047,NA,NA,NA
hearing,0.9616525053244042,kids,accuracy,0.7234525421998816,NA,NA,NA
hearing,0.8539091437598516,kids,accuracy,0.701386531107916,NA,NA,NA
hearing,0.6849930237236045,kids,accuracy,0.6648521759276235,NA,NA,NA
hearing,0.93783475569865,kids,accuracy,0.7186620807399965,NA,NA,NA
hearing,0.730270643209373,kids,accuracy,0.6748646605616864,NA,NA,NA
hearing,0.8406449015254971,kids,accuracy,0.6986010223309748,NA,NA,NA
hearing,0.5460173195615178,kids,accuracy,0.6332110860422753,NA,NA,NA
hearing,0.8424612485005372,kids,accuracy,0.6989833300380924,NA,NA,NA
hearing,0.6117357765393412,kids,accuracy,0.6483366544242025,NA,NA,NA
hearing,0.9491143155579949,kids,accuracy,0.7209370248494105,NA,NA,NA
hearing,0.8619198088866038,kids,accuracy,0.7030616013218159,NA,NA,NA
hearing,0.6230419225517808,kids,accuracy,0.6509100698406273,NA,NA,NA
hearing,0.7083755906409241,kids,accuracy,0.6700421254190111,NA,NA,NA
hearing,0.7290039625929158,kids,accuracy,0.6745866609844177,NA,NA,NA
hearing,0.871809956132341,kids,accuracy,0.705122172603597,NA,NA,NA
hearing,0.8607531201520344,kids,accuracy,0.7028179787087867,NA,NA,NA
hearing,0.9711979510822306,kids,accuracy,0.7253582104460192,NA,NA,NA
hearing,0.877528960574233,kids,accuracy,0.7063098994445046,NA,NA,NA
