"Sub.Num"	"vanilla"	"vanilla_n"	"vanilla_sd"
"30009"	0.617495055925114	24	0.216642311442806
"30010"	0.740083457478691	24	0.0974992796995773
"30011"	0.525843225483624	6	0.104632503779278
"30013"	0.664393251603343	27	0.166993262777368
"30014"	0.558281925375136	16	0.136468701499741
"30015"	0.707940743834504	9	0.147037279315855
"30016"	0.610669263943929	22	0.180642140003803
"30017"	0.59700998884724	9	0.130385847321199
"30018"	0.614654340495051	27	0.139058215652414
"30019"	0.703244366949579	24	0.205602098563557
"30020"	0.678775697939756	8	0.174423705437358
"30023"	0.508475353049484	15	0.0588542927473116
"30024"	0.592279785228823	21	0.196340297355146
"30025"	0.416802377516663	7	0.187866696122827
"30026"	0.661317804817521	13	0.173827998613811
"30028"	0.63251627883439	12	0.13422194144343
"30029"	0.618228762220455	28	0.177072508890882
"30030"	0.655834048700277	23	0.20840075433214
"30031"	0.72093113380514	22	0.17445485861908
"30036"	0.686751838825883	19	0.115038288632088
"30037"	0.623362578657039	15	0.125815007802003
"30038"	0.580210918768752	22	0.178534691771405
"30039"	0.683296318096036	11	0.148909204816552
"30041"	0.637376600895706	15	0.164307594875708
"30042"	0.650563355860101	10	0.236225970465263
"30043"	0.581313285999833	10	0.237441124541711
"30046"	0.647938694807746	15	0.188551385326046
"30048"	0.689728657604151	22	0.169205123933503
"30050"	0.523105107844525	16	0.117510372559543
"30058"	0.564019311842537	24	0.184770254646992
