"Sub.Num"	"H_H"	"H_H_n"	"H_H_sd"	"L_L"	"L_L_n"	"L_L_sd"
"30009"	0.646033522230654	31	0.227474713674638	NA	NA	NA
"30010"	0.714859707870372	31	NA	NA	NA	NA
"30011"	NA	NA	NA	0.505917415917416	11	NA
"30013"	0.650963772286611	28	0.16827509822285	NA	NA	NA
"30014"	0.580515649642759	24	0.143326891711869	NA	NA	NA
"30015"	NA	NA	NA	0.676084453791869	17	0.187217108122302
"30016"	0.610622645757254	23	0.175413126521387	NA	NA	NA
"30017"	0.610855789331842	13	0.151781496536834	NA	NA	NA
"30018"	NA	NA	NA	0.609459761022766	29	0.162016421959289
"30019"	0.725651103648196	26	0.209077786805892	NA	NA	NA
"30020"	0.699997238677005	15	0.157763526873215	NA	NA	NA
"30023"	NA	NA	NA	0.492402460759247	23	0.132011521411941
"30024"	NA	NA	NA	0.554126039787162	24	0.245438144275644
"30025"	NA	NA	NA	0.482299940204569	17	0.236367006478857
"30026"	0.695740006759433	25	0.162562797821182	NA	NA	NA
"30028"	0.606490558868302	20	0.189023765030064	NA	NA	NA
"30029"	0.677849811388589	31	0.17664682020283	NA	NA	NA
"30030"	0.703435401392404	26	0.197815906674351	NA	NA	NA
"30031"	NA	NA	NA	0.739225131539055	24	0.185934248294767
"30036"	0.717986987484168	14	0.117761486726386	NA	NA	NA
"30037"	NA	NA	NA	0.649766888888914	17	0.140493401449887
"30038"	NA	NA	NA	0.584060610017036	24	0.192960189294755
"30039"	0.705266921433341	11	0.132329979570116	NA	NA	NA
"30041"	NA	NA	NA	0.664580140517544	21	0.155298737365244
"30042"	0.646673843089908	13	0.210930812493968	NA	NA	NA
"30043"	0.546530633908144	16	0.301520592914407	NA	NA	NA
"30046"	NA	NA	NA	0.637073769154735	17	0.209192692665503
"30048"	NA	NA	NA	0.695502799240308	27	0.149223083451566
"30050"	NA	NA	NA	0.537992731058631	26	0.187554423931495
"30058"	NA	NA	NA	0.542365355852779	28	0.217977997644619
