"Sub.Num"	"no-pause"	"no-pause_n"	"no-pause_sd"	"pause"	"pause_n"	"pause_sd"	"vanilla"	"vanilla_n"	"vanilla_sd"
"30053"	0.573010042283298	10	0.127297836143956	0.5	12	0	0.649961909722439	8	0.103745881131068
"30055"	0.675199936699237	11	0.164634927921397	0.634433688166858	10	0.175827847961011	0.693891196522775	7	0.151483909782552
"30066"	0.81986270978519	9	0.198875669244594	0.816930257285214	10	0.205912496002774	0.646774132300448	7	0.122073980607587
"30069"	0.536679292929293	12	0.0782546177582495	0.536997885835095	11	0.122708105351415	0.779281119397399	7	0.0591909139441746
"30070"	0.74371702475361	10	0.195118080392583	0.716973257779231	11	0.157166391268873	0.732878482951157	8	0.198466302971466
"30072"	0.652998841169831	11	0.120560052255056	0.631901652866502	11	0.167104934870453	0.72626114969865	8	0.124343368131165
"30074"	0.878321503321503	12	0.18331083846325	0.786196723038828	12	0.230449445226711	0.974463383838384	8	0.0678503832458603
"30075"	0.87846657633243	12	0.131330591051204	0.802571998913462	12	0.116574268030347	0.758165997754058	6	0.0622081674399353
"30076"	0.825632781301386	12	0.117862693284307	0.661589245164827	12	0.179803510652411	0.662034590086916	8	0.146823890833296
"30077"	0.53202479338843	11	0.0712959620164406	0.5	11	0	0.612480179704017	8	0.0734199476590933
