,Sub.Num,van_D,group,Months,vanilla,age_months,phrases_comp,signs_produced
1,30009,1181.32,H,39,0.646033522,40,24,81
2,30010,1344.071429,H,44,0.714859708,40,24,76
3,30011,2108.25,L,16,0.505917416,16,20,19
4,30013,1620.571429,H,25,0.650963772,25,24,63
5,30014,1345.214286,H,33,0.58051565,33,22,80
6,30015,1527.75,L,21,0.676084454,21,17,41
7,30016,1552,H,31,0.610622646,31,24,78
8,30018,1098.769231,L,18,0.609459761,18,17,41
9,30019,869.9047619,H,29,0.725651104,29,20,76
10,30020,1202.357143,H,35,0.699997239,36,24,73
11,30023,1591.75,L,14,0.492402461,NA,NA,NA
12,30024,1279.611111,L,21,0.55412604,21,23,39
13,30025,1300.142857,L,13,0.48229994,13,4,0
14,30026,1123.761905,H,36,0.695740007,36,24,50
15,30028,1419.933333,L,27,0.606490559,27,23,60
16,30029,1117.821429,H,35,0.677849811,35,NA,77
17,30030,1551.416667,L,20,0.542365356,20,22,70
18,30031,1141.190476,L,17,0.739225132,17,21,39
19,30032,1536.083333,L,24,0.546530634,NA,NA,NA
20,30034,1006.333333,H,42,0.724512246,43,24,75
21,30035,1455.6,L,16,0.58406061,17,24,20
22,30036,994,L,24,0.705266921,24,24,NA
23,30037,1135.642857,H,21,0.649766889,NA,NA,NA
24,1,846.3888889,A,NA,NA,NA,NA,NA
25,10,493,A,NA,NA,NA,NA,NA
26,11,825.2857143,A,NA,NA,NA,NA,NA
27,2,713.7058824,A,NA,NA,NA,NA,NA
28,30004,1114.805556,A,NA,NA,NA,NA,NA
29,30038,723.96875,A,NA,NA,NA,NA,NA
30,30039,507.6538462,A,NA,NA,NA,NA,NA
31,5,731.4722222,A,NA,NA,NA,NA,NA
32,6,1372.096774,A,NA,NA,NA,NA,NA
33,9,575.7272727,A,NA,NA,NA,NA,NA
