"Sub.Num"	"H_H"	"H_H_n"	"H_H_sd"	"L_L"	"L_L_n"	"L_L_sd"
"30008"	0.482142857142857	1	NA	NA	NA	NA
"30009"	0.630813953488372	2	0.127443664051064	NA	NA	NA
"30010"	0.644962812711291	2	0.0469492129225956	NA	NA	NA
"30011"	NA	NA	NA	0.456730769230769	4	0.532099549864938
"30014"	0.431527093596059	4	0.244813957258105	NA	NA	NA
"30015"	NA	NA	NA	0.645490740341239	7	0.258964286211513
"30019"	NA	NA	NA	0.481827731092437	2	0.10056959892086
"30023"	NA	NA	NA	0.441346782478752	3	0.132949618945438
"30024"	NA	NA	NA	0.500387596899225	3	0.167791739421442
"30025"	NA	NA	NA	0.523594466286979	9	0.255529514131073
"30026"	0.762950296397629	3	0.0726222580443809	NA	NA	NA
"30028"	NA	NA	NA	0.485889038981052	4	0.317843382458782
