"Sub.Num"	"H_H"	"H_H_n"	"H_H_sd"	"L_L"	"L_L_n"	"L_L_sd"
"30009"	0.634477487529132	31	0.224300128544091	NA	NA	NA
"30010"	0.717099890529777	31	NA	NA	NA	NA
"30011"	NA	NA	NA	0.540508704097203	12	NA
"30014"	0.572569844819032	24	NA	NA	NA	NA
"30015"	NA	NA	NA	0.683074400474429	17	NA
"30016"	0.614047264291162	23	0.175380803665762	NA	NA	NA
"30018"	NA	NA	NA	0.613748401568523	29	NA
"30019"	0.708191018652569	26	NA	NA	NA	NA
"30020"	0.707404636559131	15	NA	NA	NA	NA
"30023"	NA	NA	NA	0.501723475594026	23	NA
"30024"	NA	NA	NA	0.453607830461052	12	NA
"30025"	NA	NA	NA	0.491058937808943	17	NA
"30026"	0.686318174675215	25	NA	NA	NA	NA
"30028"	NA	NA	NA	0.612981963308421	20	NA
