"Sub.Num"	"H_H"	"H_H_n"	"H_H_sd"	"L_L"	"L_L_n"	"L_L_sd"
"30009"	0.461105002297095	27	0.254356037784418	NA	NA	NA
"30010"	0.489648108671414	30	0.198151276501592	NA	NA	NA
"30011"	NA	NA	NA	0.22907526781381	11	0.335134669438352
"30014"	0.266967465004653	22	0.20591769139802	NA	NA	NA
"30015"	NA	NA	NA	0.491200611763056	16	0.268916740835339
"30016"	0.292568065072348	23	0.259954369010075	NA	NA	NA
"30018"	NA	NA	NA	0.366358839379194	29	0.220369626393822
"30019"	0.532881649567105	26	0.291662909418407	NA	NA	NA
"30020"	0.452609588646771	15	0.231612779851314	NA	NA	NA
"30023"	NA	NA	NA	0.108005658561807	22	0.190563109209586
"30024"	NA	NA	NA	0.108706654417476	12	0.152032605804979
"30025"	NA	NA	NA	0.28891939869634	17	0.290231629206029
"30026"	0.495448414098801	24	0.221453496835716	NA	NA	NA
"30028"	NA	NA	NA	0.362307162776875	18	0.209179072666692
