"Sub.Num"	"vanilla-1"	"vanilla-1_n"	"vanilla-1_sd"
"30009"	0.387549631310267	2	0.0383032884874165
"30010"	0.364341085271318	2	0.0438515833293983
"30011"	0.333333333333333	3	0.577350269189626
"30014"	0.5	1	NA
"30015"	0.409840654608096	6	0.168960584542094
"30017"	0.392857142857143	1	NA
"30019"	0.426677489177489	2	0.137365440717517
"30023"	0.333980044345898	3	0.15424325346358
"30024"	0.19375	2	0.274003877709787
"30025"	0.560385462388947	7	0.28175118214597
"30026"	0.743163340724316	3	0.333797404925553
"30028"	0.382839382839383	3	0.29896760500457
"30031"	1	1	NA
"30041"	0.702380952380952	3	0.263254099851143
"30042"	0.64931289640592	2	0.0138281981521682
"30048"	0.679480645323669	4	0.133772965268876
"30050"	0.557875264270613	3	0.430725348391262
