sign,onset_sec,onset_frames,offset_s,offset_frames,length_ms
ball_r,4,15,5,24,1287
teddy_r,4,13,5,19,1188
birdy_r,2,13,3,24,1353
book_r,4,11,5,16,1155
car_r,3,29,5,7,1254
kitty_r,4,3,5,10,1221
doll_r,4,1,5,12,1353
shoe_r,3,22,5,21,1947
ball_p,2,7,3,18,1353
teddy_p,2,4,2,28,792
birdy_p,2,0,2,15,495
book_p,2,6,3,0,792
car_p,1,27,2,26,957
doll_p,2,1,2,29,924
kitty_p,3,5,4,1,858
shoe_p,3,1,4,8,1221
