"Sub.Num"	"Vanilla_< 25 Months"	"Vanilla_< 25 Months_n"	"Vanilla_< 25 Months_sd"	"Vanilla_> 25 Months"	"Vanilla_> 25 Months_n"	"Vanilla_> 25 Months_sd"	"Vanilla_Adults"	"Vanilla_Adults_n"	"Vanilla_Adults_sd"
"30004"	NA	NA	NA	NA	NA	NA	0.772884447180647	40	0.141237253038818
"30005"	NA	NA	NA	NA	NA	NA	0.915031772534572	35	0.0943077830598025
"30006"	NA	NA	NA	NA	NA	NA	0.682397333930014	35	0.160577929447543
"30007"	NA	NA	NA	NA	NA	NA	0.796489127602777	25	0.0849821537691985
"30011"	0.520431699044095	6	0.149134439958089	NA	NA	NA	NA	NA	NA
"30013"	NA	NA	NA	0.625789335434725	27	0.16819078575208	NA	NA	NA
"30014"	NA	NA	NA	0.618021977333133	17	0.141176413632653	NA	NA	NA
"30015"	0.656251740803218	9	0.161915783194927	NA	NA	NA	NA	NA	NA
"30016"	NA	NA	NA	0.606098484848485	22	0.166028069510309	NA	NA	NA
"30017"	NA	NA	NA	0.67098851529634	21	0.164694659556572	NA	NA	NA
"30018"	0.625907782297571	27	0.196716040096214	NA	NA	NA	NA	NA	NA
"30019"	NA	NA	NA	0.768758476710842	24	0.228634917848516	NA	NA	NA
"30020"	NA	NA	NA	0.649670575896262	10	0.200115517597584	NA	NA	NA
"30021"	NA	NA	NA	NA	NA	NA	0.883400735294118	36	0.0844884411294386
"30022"	NA	NA	NA	NA	NA	NA	0.715780261766795	22	0.104659870385105
"30024"	0.598313902007084	22	0.232096920438515	NA	NA	NA	NA	NA	NA
"30025"	NA	NA	NA	0.639455474497491	13	0.131735910925546	NA	NA	NA
"30026"	NA	NA	NA	0.751101307189542	15	0.146547269830168	NA	NA	NA
"30027"	NA	NA	NA	NA	NA	NA	0.757513201365674	31	0.0752061416084849
"30029"	NA	NA	NA	0.708259712561248	30	0.161194519217	NA	NA	NA
"30031"	0.66757174744898	16	0.14744367531265	NA	NA	NA	NA	NA	NA
"30037"	0.6565425963664	16	0.197285945370025	NA	NA	NA	NA	NA	NA
"30038"	0.593599033816425	23	0.24378999755666	NA	NA	NA	NA	NA	NA
"30041"	0.647260907755023	17	0.170141528574569	NA	NA	NA	NA	NA	NA
"30044"	NA	NA	NA	NA	NA	NA	0.596950084309346	32	0.0745448485978018
"30046"	0.62578125	16	0.195804955095153	NA	NA	NA	NA	NA	NA
"30048"	0.589910697480573	11	0.249074504745432	NA	NA	NA	NA	NA	NA
"30049"	NA	NA	NA	0.707858640796744	20	0.124129706888343	NA	NA	NA
"30051"	0.572679934494256	13	0.17377769256013	NA	NA	NA	NA	NA	NA
"30052"	NA	NA	NA	0.564190071242518	20	0.111315037900295	NA	NA	NA
"30057"	NA	NA	NA	0.779286858951618	12	0.190913701049206	NA	NA	NA
"30059"	NA	NA	NA	NA	NA	NA	0.856296512726788	36	0.092462966842779
"30060"	NA	NA	NA	NA	NA	NA	0.959821370573629	36	0.0382878738917802
"30065"	NA	NA	NA	NA	NA	NA	0.593784503878956	32	0.163517127538161
"30066"	NA	NA	NA	0.659755150461423	23	0.154249494366488	NA	NA	NA
"30069"	NA	NA	NA	NA	NA	NA	0.688164983412597	22	0.112079870961108
"30072"	NA	NA	NA	NA	NA	NA	0.604135328064163	31	0.128995477459074
"30074"	NA	NA	NA	NA	NA	NA	0.940982239049466	26	0.109114101062851
"30075"	NA	NA	NA	NA	NA	NA	0.809305438265346	25	0.131644982626033
"30076"	NA	NA	NA	NA	NA	NA	0.63184838065661	32	0.162970482993054
"30078"	NA	NA	NA	NA	NA	NA	0.696326769549792	31	0.0949117559404716
"30079"	NA	NA	NA	NA	NA	NA	0.738216145833333	32	0.224013553815057
"30081"	NA	NA	NA	NA	NA	NA	0.755011129451781	32	0.0789920180515418
"30085"	0.596596169457607	12	0.117588115453296	NA	NA	NA	NA	NA	NA
"30086"	0.500534753031647	10	0.146559725015894	NA	NA	NA	NA	NA	NA
"30087"	NA	NA	NA	0.475636590226032	11	0.156494052817775	NA	NA	NA
"30088"	0.532913165266106	7	0.131479504515362	NA	NA	NA	NA	NA	NA
"30090"	NA	NA	NA	0.477341205713054	13	0.148372902503885	NA	NA	NA
