"Sub.Num"	"Vanilla_< 27 Months"	"Vanilla_< 27 Months_n"	"Vanilla_< 27 Months_sd"	"Vanilla_>= 27 Months"	"Vanilla_>= 27 Months_n"	"Vanilla_>= 27 Months_sd"
"30009"	NA	NA	NA	0.648793434729468	24	0.228017260532466
"30010"	NA	NA	NA	0.747673261599385	25	0.141935165267288
"30011"	0.537479850430738	6	0.159285625946825	NA	NA	NA
"30013"	NA	NA	NA	0.556290351408133	14	0.0765293145134748
"30014"	NA	NA	NA	0.623486752883321	16	0.126945766541252
"30015"	0.678017722435961	9	0.140868256183258	NA	NA	NA
"30017"	NA	NA	NA	0.639835841040557	22	0.166992103617249
"30018"	0.627822544552515	27	0.185717735734291	NA	NA	NA
"30019"	NA	NA	NA	0.771616254116254	24	0.223827055528326
"30020"	NA	NA	NA	0.667935767935768	10	0.205731212744387
"30024"	0.604506251775368	19	0.222797917100467	NA	NA	NA
"30025"	0.607339371155161	11	0.109447782467929	NA	NA	NA
"30026"	NA	NA	NA	0.761366672896677	14	0.150541450333193
"30028"	NA	NA	NA	0.565407476121762	11	0.208019780955921
"30029"	NA	NA	NA	0.713677676083259	29	0.172902150768694
"30031"	0.668520140312904	16	0.139793603232081	NA	NA	NA
"30036"	NA	NA	NA	0.749087923935316	17	0.130220790637858
"30037"	0.649164635271554	15	0.193287836745554	NA	NA	NA
"30046"	0.632640796703297	16	0.211642634688222	NA	NA	NA
"30048"	0.701884968050282	20	0.189006277771644	NA	NA	NA
"30049"	NA	NA	NA	0.718016052295252	20	0.122045692622856
"30050"	0.511803270259153	8	0.239471377833159	NA	NA	NA
"30051"	0.579752839844697	13	0.166704848275664	NA	NA	NA
"30052"	NA	NA	NA	0.574275433284998	20	0.115501025235418
"30066"	NA	NA	NA	0.661362363563801	23	0.158662073330482
"30068"	NA	NA	NA	0.754882773630452	20	0.138489927786031
"30085"	0.618907236900602	11	0.122319460996331	NA	NA	NA
"30086"	0.508657032268143	9	0.119090747235549	NA	NA	NA
"30088"	0.529690031581479	8	0.123924380479024	NA	NA	NA
