"Sub.Num"	"Vanilla_Adults"	"Vanilla_Adults_n"	"Vanilla_Adults_sd"
"30004"	0.712827927864681	40	0.132875392530469
"30005"	0.854312874529931	35	0.095552530226537
"30006"	0.64485587263564	35	0.140225310866872
"30007"	0.855521437709548	25	0.0749714747921565
"30021"	0.808707667053639	36	0.080472256185642
"30022"	0.719643490005029	22	0.115193064632189
"30027"	0.750212590239346	31	0.0625154332578427
"30044"	0.6304366050078	32	0.0749364881448105
"30059"	0.837033913942629	36	0.100117345413855
"30060"	0.912246067580827	36	0.0548145920124243
"30069"	0.750465463065084	29	0.14878246800513
"30074"	0.899605121681583	29	0.12864104669821
"30075"	0.800111720596289	28	0.152016153877469
"30078"	0.722984744889446	31	0.100452553877813
"30079"	0.666334924063691	32	0.20160485272806
"30081"	0.79687276582815	32	0.0849097467189338
