"Sub.Num"	"Vanilla_< 29 Months"	"Vanilla_< 29 Months_n"	"Vanilla_< 29 Months_sd"	"Vanilla_> 29 Months"	"Vanilla_> 29 Months_n"	"Vanilla_> 29 Months_sd"	"Vanilla_Adults"	"Vanilla_Adults_n"	"Vanilla_Adults_sd"
"30004"	NA	NA	NA	NA	NA	NA	0.766607455036182	40	0.143696100243966
"30005"	NA	NA	NA	NA	NA	NA	0.912356359649429	35	0.0952419642335315
"30006"	NA	NA	NA	NA	NA	NA	0.679501334056476	35	0.160469168227168
"30007"	NA	NA	NA	NA	NA	NA	0.814507358862988	25	0.0823855285584369
"30009"	NA	NA	NA	0.6577626970033	24	0.228507867213831	NA	NA	NA
"30010"	NA	NA	NA	0.724273487797989	26	0.142497981117866	NA	NA	NA
"30011"	0.51645412562038	6	0.133921569694512	NA	NA	NA	NA	NA	NA
"30013"	NA	NA	NA	0.554598708179827	14	0.0836556308831165	NA	NA	NA
"30014"	NA	NA	NA	0.61560965894723	17	0.144817416558852	NA	NA	NA
"30015"	0.644353463020996	9	0.17647170148057	NA	NA	NA	NA	NA	NA
"30017"	NA	NA	NA	0.679322508188976	21	0.166161718776284	NA	NA	NA
"30018"	0.625222435882826	27	0.206258493443667	NA	NA	NA	NA	NA	NA
"30019"	NA	NA	NA	0.765738407027141	24	0.229194355769412	NA	NA	NA
"30020"	NA	NA	NA	0.642163887369752	10	0.2017274645801	NA	NA	NA
"30021"	NA	NA	NA	NA	NA	NA	0.87669383701077	36	0.0873174470274481
"30022"	NA	NA	NA	NA	NA	NA	0.723007097780957	22	0.111406484115005
"30024"	0.603422925926762	20	0.213871260410805	NA	NA	NA	NA	NA	NA
"30025"	0.617725590782945	11	0.13052828695152	NA	NA	NA	NA	NA	NA
"30026"	NA	NA	NA	0.745824082639531	15	0.148688953632972	NA	NA	NA
"30027"	NA	NA	NA	NA	NA	NA	0.770609440200649	31	0.074877479924123
"30028"	0.626493453355155	13	0.161283463165867	NA	NA	NA	NA	NA	NA
"30029"	NA	NA	NA	0.702113294087026	30	0.160232150628834	NA	NA	NA
"30031"	0.661818484042553	16	0.148814528447662	NA	NA	NA	NA	NA	NA
"30036"	NA	NA	NA	0.737364211724604	17	0.165443503312242	NA	NA	NA
"30037"	0.658618161722859	16	0.203474240812232	NA	NA	NA	NA	NA	NA
"30038"	0.635068656033041	20	0.219037876008057	NA	NA	NA	NA	NA	NA
"30044"	NA	NA	NA	NA	NA	NA	0.603763105234133	32	0.0802465604773367
"30046"	0.62052304964539	16	0.190399122662011	NA	NA	NA	NA	NA	NA
"30048"	0.674021370254402	22	0.189094745177079	NA	NA	NA	NA	NA	NA
"30049"	NA	NA	NA	0.699273566492866	20	0.125583728868403	NA	NA	NA
"30050"	0.56463517286688	9	0.190302349913269	NA	NA	NA	NA	NA	NA
"30051"	0.565221987001589	13	0.178601662522151	NA	NA	NA	NA	NA	NA
"30052"	0.558557597834089	20	0.10971794490038	NA	NA	NA	NA	NA	NA
"30059"	NA	NA	NA	NA	NA	NA	0.864183759620566	36	0.0946342081253716
"30060"	NA	NA	NA	NA	NA	NA	0.960383003708039	36	0.0374224256015535
"30065"	NA	NA	NA	NA	NA	NA	0.58881069075113	32	0.164981086015921
"30066"	NA	NA	NA	0.657878846444974	23	0.150908232542814	NA	NA	NA
"30068"	NA	NA	NA	0.735328435063888	21	0.156132311836399	NA	NA	NA
"30069"	NA	NA	NA	NA	NA	NA	0.703007362930294	24	0.119320758350172
"30072"	NA	NA	NA	NA	NA	NA	0.599836090377941	31	0.130639394120355
"30074"	NA	NA	NA	NA	NA	NA	0.943038432877124	26	0.112476477285795
"30075"	NA	NA	NA	NA	NA	NA	0.808130884465233	25	0.135963209758132
"30076"	NA	NA	NA	NA	NA	NA	0.620520035550631	32	0.161840919117647
"30078"	NA	NA	NA	NA	NA	NA	0.705891650927267	31	0.0973317777061079
"30079"	NA	NA	NA	NA	NA	NA	0.730307605644208	32	0.224982764823135
"30081"	NA	NA	NA	NA	NA	NA	0.765853597331432	32	0.0811855179560592
"30085"	0.589155150563354	12	0.117118353498142	NA	NA	NA	NA	NA	NA
"30086"	0.498172131428376	9	0.175458122790062	NA	NA	NA	NA	NA	NA
"30088"	0.534131297446515	7	0.132472292880942	NA	NA	NA	NA	NA	NA
