"Sub.Num"	"Vanilla_< 27 Months"	"Vanilla_< 27 Months_n"	"Vanilla_< 27 Months_sd"	"Vanilla_>= 27 Months"	"Vanilla_>= 27 Months_n"	"Vanilla_>= 27 Months_sd"
"30009"	NA	NA	NA	0.655262714500315	23	0.230878850830797
"30010"	NA	NA	NA	0.747673261599385	25	0.141935165267288
"30011"	0.556219775646107	4	0.202192429467103	NA	NA	NA
"30013"	NA	NA	NA	0.565672076642821	12	0.0790535832060519
"30014"	NA	NA	NA	0.651983695856395	13	0.124306239908962
"30015"	0.700269937740457	8	0.13261077666397	NA	NA	NA
"30017"	NA	NA	NA	0.639835841040557	22	0.166992103617249
"30018"	0.632738796266074	26	0.187595415810036	NA	NA	NA
"30019"	NA	NA	NA	0.796308640854095	22	0.217266807877068
"30020"	NA	NA	NA	0.667935767935768	10	0.205731212744387
"30024"	0.616801104925411	17	0.233062159385587	NA	NA	NA
"30025"	0.618073308270677	10	0.109094381264566	NA	NA	NA
"30026"	NA	NA	NA	0.761366672896677	14	0.150541450333193
"30028"	NA	NA	NA	0.565407476121762	11	0.208019780955921
"30029"	NA	NA	NA	0.721309021657661	28	0.171029075640313
"30031"	0.668520140312904	16	0.139793603232081	NA	NA	NA
"30036"	NA	NA	NA	0.749087923935316	17	0.130220790637858
"30037"	0.672113040697946	13	0.198262509439398	NA	NA	NA
"30038"	0.616118669690098	7	0.159062270663038	NA	NA	NA
"30046"	0.641483516483517	15	0.215989845316828	NA	NA	NA
"30047"	NA	NA	NA	0.630104780371392	5	0.0446129465300094
"30048"	0.701884968050282	20	0.189006277771644	NA	NA	NA
"30049"	NA	NA	NA	0.742240058105836	18	0.102148515959404
"30050"	0.523606540518305	4	0.365290408715539	NA	NA	NA
"30051"	0.586398909831755	12	0.172309319867387	NA	NA	NA
"30052"	NA	NA	NA	0.592844291606247	16	0.122715130778523
"30066"	NA	NA	NA	0.676730207712735	21	0.157604753931837
"30068"	NA	NA	NA	0.768297656453107	19	0.128241372035987
"30085"	0.630797960590662	10	0.1220508460976	NA	NA	NA
"30086"	0.511130470059041	7	0.137397316167414	NA	NA	NA
"30087"	0.492512531328321	4	0.148702058544723	NA	NA	NA
"30088"	0.539586708775305	6	0.145017311568156	NA	NA	NA
"30090"	NA	NA	NA	0.486062378167641	5	0.187889861967777
