"Sub.Num"	"Vanilla_< 27 Months"	"Vanilla_< 27 Months_n"	"Vanilla_< 27 Months_sd"	"Vanilla_>= 27 Months"	"Vanilla_>= 27 Months_n"	"Vanilla_>= 27 Months_sd"
"30009"	NA	NA	NA	0.635440598757552	24	0.221203455621949
"30010"	NA	NA	NA	0.761383057246786	25	0.134693381573779
"30011"	0.549485538615973	6	0.138606282617469	NA	NA	NA
"30013"	NA	NA	NA	0.586325849453623	14	0.0778290931341684
"30014"	NA	NA	NA	0.605773892961674	16	0.118979156930474
"30015"	0.712438329485519	9	0.120126129732541	NA	NA	NA
"30017"	NA	NA	NA	0.601598461818341	22	0.172114876476866
"30018"	0.629187775335948	27	0.176317217625196	NA	NA	NA
"30019"	NA	NA	NA	0.768271794725602	24	0.22387923291505
"30020"	NA	NA	NA	0.694239305620425	10	0.195146654732719
"30024"	0.592342084856385	19	0.227380630453313	NA	NA	NA
"30025"	0.583672235432799	11	0.0951970137822439	NA	NA	NA
"30026"	NA	NA	NA	0.744075510894294	14	0.172832357358359
"30028"	NA	NA	NA	0.568979603038261	11	0.218497701969265
"30029"	NA	NA	NA	0.69597616640008	29	0.194930943157604
"30031"	0.663296733905851	16	0.134554634227228	NA	NA	NA
"30036"	NA	NA	NA	0.751153871680191	17	0.107026836506642
"30037"	0.649923143478815	15	0.163192540603083	NA	NA	NA
"30046"	0.647265481732137	16	0.233282340386956	NA	NA	NA
"30048"	0.719894166650952	20	0.17343529651575	NA	NA	NA
"30049"	NA	NA	NA	0.724335519699159	20	0.128661937959378
"30050"	0.522145766249659	8	0.20452618083944	NA	NA	NA
"30051"	0.591476993312752	13	0.161547964721262	NA	NA	NA
"30052"	NA	NA	NA	0.574868444889365	20	0.118592175177168
"30066"	NA	NA	NA	0.673495975823592	23	0.164088267464348
"30068"	NA	NA	NA	0.778955303058992	20	0.138869016997388
"30085"	0.600699630180219	11	0.113191708111167	NA	NA	NA
"30086"	0.494918220939492	9	0.0783104471525334	NA	NA	NA
"30088"	0.535218725095032	8	0.132076407176211	NA	NA	NA
