"Sub.Num"	"Vanilla_Adults_D"	"Vanilla_Adults_D_n"	"Vanilla_Adults_D_sd"
"30004"	994.088235294118	34	334.240828404534
"30005"	668.617647058824	34	201.523292090274
"30006"	1080.80769230769	26	407.33072746659
"30007"	417.4	25	177.431442159124
"30021"	834.333333333333	36	196.560132565802
"30022"	729.9	20	322.062906571796
"30027"	799.967741935484	31	215.846470725678
"30044"	545.875	32	191.164301904358
"30059"	693.147058823529	34	226.414360337071
"30060"	552.342857142857	35	161.101163477951
"30069"	551.6	20	434.085414830332
"30074"	589.5	22	315.406729100545
"30075"	721.136363636364	22	473.261560164149
"30078"	654.137931034483	29	292.157091322207
"30079"	1015.20833333333	24	485.609610531525
"30081"	615.5	30	337.703272119179
