"Sub.Num"	"Vanilla_< 26.5 Months"	"Vanilla_< 26.5 Months_n"	"Vanilla_< 26.5 Months_sd"	"Vanilla_> 26.5 Months"	"Vanilla_> 26.5 Months_n"	"Vanilla_> 26.5 Months_sd"	"Vanilla_Adults"	"Vanilla_Adults_n"	"Vanilla_Adults_sd"
"30004"	NA	NA	NA	NA	NA	NA	0.759063751181273	40	0.147500558140778
"30005"	NA	NA	NA	NA	NA	NA	0.909318051444095	35	0.097030486055561
"30006"	NA	NA	NA	NA	NA	NA	0.674775917999927	35	0.159926862676853
"30007"	NA	NA	NA	NA	NA	NA	0.835504880340567	25	0.0805023027137172
"30009"	NA	NA	NA	0.650392995444744	24	0.228984936310085	NA	NA	NA
"30010"	NA	NA	NA	0.712180575222975	26	0.144134137151465	NA	NA	NA
"30011"	0.511941056910569	6	0.116551240136835	NA	NA	NA	NA	NA	NA
"30013"	NA	NA	NA	0.554544840676435	14	0.0854182756011348	NA	NA	NA
"30014"	NA	NA	NA	0.6118123706359	17	0.143567982500576	NA	NA	NA
"30015"	0.628214246608556	9	0.188923256388902	NA	NA	NA	NA	NA	NA
"30017"	NA	NA	NA	0.682599976038514	21	0.16657428300064	NA	NA	NA
"30018"	0.625719719985873	27	0.216000671698829	NA	NA	NA	NA	NA	NA
"30019"	NA	NA	NA	0.765615981240981	24	0.225352044040475	NA	NA	NA
"30020"	NA	NA	NA	0.633590795169742	10	0.20577636390915	NA	NA	NA
"30021"	NA	NA	NA	NA	NA	NA	0.869071669071669	36	0.0907072417276023
"30022"	NA	NA	NA	NA	NA	NA	0.729659967691091	22	0.12028537904145
"30024"	0.603555565711318	20	0.211334683760718	NA	NA	NA	NA	NA	NA
"30025"	0.616391184573003	11	0.134520012616433	NA	NA	NA	NA	NA	NA
"30026"	NA	NA	NA	0.735622895622896	15	0.151254680516278	NA	NA	NA
"30027"	NA	NA	NA	NA	NA	NA	0.78332933677241	31	0.0754719170011953
"30028"	NA	NA	NA	0.623185477836641	13	0.163226813419813	NA	NA	NA
"30029"	NA	NA	NA	0.693868189592807	30	0.160830366021544	NA	NA	NA
"30031"	0.652843163780664	16	0.148500510101926	NA	NA	NA	NA	NA	NA
"30036"	NA	NA	NA	0.724849950551045	17	0.175958362834804	NA	NA	NA
"30037"	0.662231610709436	16	0.210307400614866	NA	NA	NA	NA	NA	NA
"30044"	NA	NA	NA	NA	NA	NA	0.611613201474094	32	0.0868999400247673
"30046"	0.613162878787879	16	0.185817696728328	NA	NA	NA	NA	NA	NA
"30048"	0.667138330602918	22	0.18817308029378	NA	NA	NA	NA	NA	NA
"30049"	NA	NA	NA	0.69065958628565	20	0.127348643388233	NA	NA	NA
"30050"	0.56517036110532	9	0.18681199188634	NA	NA	NA	NA	NA	NA
"30051"	0.562437497902614	13	0.175213807016979	NA	NA	NA	NA	NA	NA
"30052"	NA	NA	NA	0.553502382586685	20	0.10796606504023	NA	NA	NA
"30059"	NA	NA	NA	NA	NA	NA	0.870297670489106	36	0.0981109735048684
"30060"	NA	NA	NA	NA	NA	NA	0.959955801323568	36	0.0376084369169687
"30066"	NA	NA	NA	0.653868223121781	23	0.148049671121915	NA	NA	NA
"30068"	NA	NA	NA	0.728490861672938	21	0.163092931679084	NA	NA	NA
"30069"	NA	NA	NA	NA	NA	NA	0.715229472223907	24	0.130235442512727
"30074"	NA	NA	NA	NA	NA	NA	0.943252903427322	26	0.116785821427602
"30075"	NA	NA	NA	NA	NA	NA	0.807829075663733	25	0.140031384625579
"30078"	NA	NA	NA	NA	NA	NA	0.715994367597893	31	0.0998196972370307
"30079"	NA	NA	NA	NA	NA	NA	0.721642766955267	32	0.225653186571862
"30081"	NA	NA	NA	NA	NA	NA	0.777585001803752	32	0.0850535788196545
"30085"	0.58065087918321	12	0.118718531901237	NA	NA	NA	NA	NA	NA
"30086"	0.487317340999512	9	0.191978526281918	NA	NA	NA	NA	NA	NA
"30088"	0.533379715522573	7	0.129918506025111	NA	NA	NA	NA	NA	NA
