"Sub.Num"	"no-pause"	"no-pause_n"	"no-pause_sd"	"pause"	"pause_n"	"pause_sd"	"vanilla"	"vanilla_n"	"vanilla_sd"
"30053"	0.657349659384543	11	0.140826609181499	0.720906458775148	12	0.121214395833463	0.620892142280578	8	0.140576247425139
"30055"	0.521341463414634	12	0.0739289978840375	0.554639521601828	11	0.115319085478893	0.626203456631088	8	0.19935618339265
"30066"	0.502469135802469	9	0.00740740740740742	0.5	10	0	0.590383154856839	7	0.174655403133812
"30069"	0.749290742981282	11	0.0676285170784264	0.769705242905624	11	0.115690190118317	0.685125275241554	7	0.233490691674386
"30070"	0.500925925925926	12	0.00320750149549791	0.510330578512397	11	0.0342626527929277	0.641211816284491	8	0.280319970241221
"30072"	0.596220444391176	11	0.118920002924747	0.669225667573281	11	0.113084595838633	0.659187978966942	8	0.212150645300664
"30074"	0.892929292929293	11	0.157386573820699	0.894412878787879	12	0.149827339047718	0.849463383838384	8	0.349724889678207
"30075"	0.705971591642323	12	0.0947711466432557	0.625200855153029	11	0.127893369743769	0.758165997754058	6	0.0622081674399353
"30076"	0.551422656800564	12	0.0676826874044961	0.542361111111111	12	0.101634555375473	0.582489135541461	8	0.209252681038995
"30077"	0.594445721633044	12	0.0647896615271693	0.595992047463261	12	0.100611812372017	0.564184725158562	8	0.123050695743311
