"Time.ms","age_group","value_cat","mean_prop_looking","ci_low","ci_high"
"0","< 27 Months","Distractor",0,0,0
"0","< 27 Months","Signer",1,0,0
"0","< 27 Months","Target",0,0,0
"0",">= 27 Months","Distractor",0,0,0
"0",">= 27 Months","Signer",1,0,0
"0",">= 27 Months","Target",0,0,0
"0","Adults","Distractor",0,0,0
"0","Adults","Signer",1,0,0
"0","Adults","Target",0,0,0
"100","< 27 Months","Distractor",0,0,0
"100","< 27 Months","Signer",0.991071428571429,0.0178571428571429,0.0089285714285714
"100","< 27 Months","Target",0.00892857142857143,0.00892857142857143,0.0178571428571429
"100",">= 27 Months","Distractor",0.00606060606060606,0.00606060606060606,0.0121212121212121
"100",">= 27 Months","Signer",0.993939393939394,0.0121212121212122,0.0060606060606061
"100",">= 27 Months","Target",0,0,0
"100","Adults","Distractor",0,0,0
"100","Adults","Signer",0.983287545787546,0.0196886446886447,0.0167124542124542
"100","Adults","Target",0.0167124542124542,0.0167124542124542,0.0182005494505495
"1000","< 27 Months","Distractor",0.110545692636029,0.0499316393223956,0.0525532713085234
"1000","< 27 Months","Signer",0.727804134474303,0.107209709204194,0.098313846371882
"1000","< 27 Months","Target",0.161650172889669,0.0761627279116775,0.0847295584900626
"1000",">= 27 Months","Distractor",0.0614276464276464,0.0277047027047027,0.0273596681096681
"1000",">= 27 Months","Signer",0.699109594109594,0.0857896085396086,0.0785653836903836
"1000",">= 27 Months","Target",0.239462759462759,0.0792445147445147,0.0971056628556629
"1000","Adults","Distractor",0.0187096505238739,0.012389491550941,0.0150357157131406
"1000","Adults","Signer",0.287541382204513,0.103393429870842,0.115843503830399
"1000","Adults","Target",0.693748967271613,0.125398236689158,0.103042572369194
"1033","< 27 Months","Distractor",0.106215895449089,0.0516069382298374,0.0547222411691949
"1033","< 27 Months","Signer",0.706793399177853,0.0978233168267306,0.104201009949434
"1033","< 27 Months","Target",0.186990705373058,0.0770490241551166,0.0889581741787624
"1033",">= 27 Months","Distractor",0.0645183208604261,0.0281282536907537,0.0274854573058521
"1033",">= 27 Months","Signer",0.662143169695801,0.0951536714747241,0.0843645900882743
"1033",">= 27 Months","Target",0.273338509443773,0.0761899489399489,0.0875830464856781
"1033","Adults","Distractor",0.018702677912537,0.0120800580356068,0.0140739984202906
"1033","Adults","Signer",0.278105211012101,0.100072948163026,0.113386726825818
"1033","Adults","Target",0.703192111075362,0.106172114251443,0.104610801858208
"1067","< 27 Months","Distractor",0.113673591446148,0.0588834098232594,0.0564824296943658
"1067","< 27 Months","Signer",0.693508324382385,0.120223015940826,0.0980050318572405
"1067","< 27 Months","Target",0.192818084171468,0.0757026901669759,0.0799895640074212
"1067",">= 27 Months","Distractor",0.0617086305507358,0.025352479757085,0.024181647227042
"1067",">= 27 Months","Signer",0.626729066255382,0.0925360598465862,0.0977955119441962
"1067",">= 27 Months","Target",0.311562303193882,0.0851419457735247,0.0879501237067027
"1067","Adults","Distractor",0.0152902958274295,0.00977558994507651,0.0102560582880187
"1067","Adults","Signer",0.268796627925959,0.100060219926792,0.10758991780939
"1067","Adults","Target",0.715913076246612,0.113522097937044,0.102087270179798
"1100","< 27 Months","Distractor",0.113810524209684,0.0559151160464186,0.0546781212484994
"1100","< 27 Months","Signer",0.68497601837938,0.110094679480184,0.104643238414247
"1100","< 27 Months","Target",0.201213457410936,0.0829344071544702,0.0959037198795602
"1100",">= 27 Months","Distractor",0.0627495649250035,0.0274087579006439,0.02604698741804
