"Sub.Num","age_peek_months","age_group","signs_produced","C_T_count","total_trials_shifting","median_rt","C_T_prop","logit_acc","mean_prop_looking_TD","value_cat","age_group_collapsed","hearing_status_participant","window","age.s","acc.s","rt.s","voc.s"
"30009",40,">= 27 Months",81,17,23,883,0.74,0.429474416642315,0.611313849471324,"Target","Kids","hearing","600_2200",1.21907567989047,-0.385541317848098,-1.42622774731695,1.08898251309097
"30010",44,">= 27 Months",77,20,26,1166.5,0.77,0.606581292745634,0.654905847237209,"Target","Kids","hearing","600_2200",1.6580997189507,-0.067789268872077,-0.296817569426656,0.86922387981856
"30011",16,"< 27 Months",19,4,5,1633,0.8,-0.348952897844822,0.409090909090909,"Target","Kids","deaf","600_2200",-1.41506855447093,-1.78213799212344,1.56162986614943,-2.31727630263142
"30013",31,">= 27 Months",81,13,13,1183.5,1,0.965920174313582,0.736111111111111,"Target","Kids","deaf","600_2200",0.231271592004944,0.57690995685622,-0.229092796854751,1.08898251309097
"30014",33,">= 27 Months",80,10,15,1316.5,0.67,0.91337374670667,0.724936883447522,"Target","Kids","deaf","600_2200",0.450783611535061,0.482635045538118,0.30075395326662,1.03404285477287
"30015",21,"< 27 Months",41,7,9,1300,0.78,0.176580826472594,0.54634826978577,"Target","Kids","deaf","600_2200",-0.866288505645639,-0.839264280035365,0.23502108577036,-1.10860381963315
"30017",35,">= 27 Months",73,16,22,1033,0.73,0.950230766328373,0.732801668028941,"Target","Kids","deaf","600_2200",0.670295631065178,0.548761182261988,-0.828656224623671,0.649465246546148
"30018",18,"< 27 Months",41,16,29,783.5,0.55,0.255737202912199,0.566934857516152,"Target","Kids","hearing","600_2200",-1.19555653494081,-0.697247767991367,-1.82261685737015,-1.10860381963315
"30019",29,">= 27 Months",76,18,23,833,0.78,1.13137088031249,0.769570317328154,"Target","Kids","deaf","600_2200",0.0117595724748277,0.873749368133589,-1.62541825488137,0.814284221500457
"30020",36,">= 27 Months",73,13,15,1133,0.87,0.935915203167354,0.729761904761905,"Target","Kids","hearing","600_2200",0.780051640830236,0.523077258369581,-0.430275209494821,0.649465246546148
"30024",21,"< 27 Months",57,11,18,1100,0.61,0.434024862549671,0.612457218707219,"Target","Kids","deaf","600_2200",-0.866288505645639,-0.377377244591149,-0.561740944487341,-0.229569286543503
"30025",26,"< 27 Months",56,10,12,1300,0.83,1.82527528881595,0.880208333333333,"Target","Kids","hearing","600_2200",-0.317508456820347,2.11870130024739,0.23502108577036,-0.284508944861606
"30026",36,">= 27 Months",50,17,21,1200,0.81,0.990290390124567,0.741205553705554,"Target","Kids","deaf","600_2200",0.780051640830236,0.620633194362881,-0.163359929358491,-0.614146894770225
"30028",27,">= 27 Months",60,7,12,1016.5,0.58,0.245250605470372,0.564218073593074,"Target","Kids","hearing","600_2200",-0.207752447055289,-0.716062044981851,-0.894389092119931,-0.0647503115891931
"30029",35,">= 27 Months",77,25,30,1150,0.83,0.92840633312103,0.728159845485994,"Target","Kids","deaf","600_2200",0.670295631065178,0.509605399482962,-0.362550436922916,0.86922387981856
"30031",25,"< 27 Months",62,14,17,1417,0.82,1.40520690526337,0.81895667989418,"Target","Kids","deaf","600_2200",-0.427264466585406,1.36504569680255,0.701126873471115,0.0451290050470132
"30036",42,">= 27 Months",75,15,18,1167,0.83,1.02351159581914,0.748059001184001,"Target","Kids","deaf","600_2200",1.43858769942059,0.680236222834495,-0.294825664351011,0.759344563182354
"30046",22,"< 27 Months",72,11,15,1366.5,0.73,0.454159681209574,0.617502925315425,"Target","Kids","hearing","600_2200",-0.756532495880581,-0.341252843180486,0.499944460831045,0.594525588228045
"30048",19,"< 27 Months",31,19,21,1183,0.9,0.98575620914247,0.740261978669363,"Target","Kids","deaf","600_2200",-1.08580052517576,0.612498302431023,-0.231084701930395,-1.65800040281418
"30049",33,">= 27 Months",69,16,20,1300,0.8,0.970965371010609,0.737170394617203,"Target","Kids","deaf","600_2200",0.450783611535061,0.585961675362237,0.23502108577036,0.429706613273735
"30050",18,"< 27 Months",23,6,9,1900,0.67,0.0580718699046725,0.515277777777778,"Target","Kids","hearing","600_2200",-1.19555653494081,-1.05188427876144,2.62530717654346,-2.09751766935901
"30051",25,"< 27 Months",67,6,13,1450,0.46,-0.227136274463754,0.440482954545455,"Target","Kids","deaf","600_2200",-0.427264466585406,-1.56358362241001,0.832592608463635,0.319827296637529
"30052",28,">= 27 Months",72,14,19,1183.5,0.74,0.145443067068433,0.538207163207163,"Target","Kids","deaf","600_2200",-0.0979964372902306,-0.895129343373856,-0.229092796854751,0.594525588228045
"30066",35,">= 27 Months",78,17,23,1250,0.74,0.712702718193607,0.679997985742471,"Target","Kids","hearing","600_2200",0.670295631065178,0.122605938351148,0.0358305782059345,0.924163538136663
"30068",53,">= 27 Months",82,16,20,1033,0.8,1.11229941607533,0.765850047474282,"Target","Kids","hearing","600_2200",2.64590380683623,0.839532758526646,-0.828656224623671,1.14392217140908
"30085",19,"< 27 Months",50,7,11,1300,0.64,0.237287704798031,0.562152777777778,"Target","Kids","deaf","600_2200",-1.08580052517576,-0.730348492013714,0.23502108577036,-0.614146894770225
"30086",20,"< 27 Months",47,3,8,1367,0.38,-0.891628825055958,0.279761904761905,"Target","Kids","hearing","600_2200",-0.976044515410698,-2.75576697590556,0.50193636590669,-0.778965869724534
"30088",22,"< 27 Months",43,2,6,1333.5,0.33,-0.0670839701498276,0.482352941176471,"Target","Kids","hearing","600_2200",-0.756532495880581,-1.27642962388645,0.368478725838525,-0.998724502996946
"30009",40,">= 27 Months",81,17,23,833,0.74,0.434031159619558,0.612458800174956,"Target","Kids","hearing","600_2500",1.21907567989047,-0.377365946854419,-1.62541825488137,1.08898251309097
"30010",44,">= 27 Months",77,20,26,1133,0.77,0.754474960982,0.689634724150334,"Target","Kids","hearing","600_2500",1.6580997189507,0.197550604692574,-0.430275209494821,0.86922387981856
"30011",16,"< 27 Months",19,4,5,1633,0.8,-0.158665360181786,0.458333333333333,"Target","Kids","deaf","600_2500",-1.41506855447093,-1.44073817571112,1.56162986614943,-2.31727630263142
"30013",31,">= 27 Months",81,13,13,1316.5,1,0.830930882922999,0.706896551724138,"Target","Kids","deaf","600_2500",0.231271592004944,0.334722161142651,0.30075395326662,1.08898251309097
"30014",33,">= 27 Months",80,10,15,1316.5,0.67,0.914804090607322,0.725244443665496,"Target","Kids","deaf","600_2500",0.450783611535061,0.485201262701292,0.30075395326662,1.03404285477287
"30015",21,"< 27 Months",41,7,9,1300,0.78,0.425030835947068,0.610196269247993,"Target","Kids","deaf","600_2500",-0.866288505645639,-0.393513661450847,0.23502108577036,-1.10860381963315
"30017",35,">= 27 Months",73,16,22,1083,0.73,0.481465391222666,0.624309311378277,"Target","Kids","deaf","600_2500",0.670295631065178,-0.292262959239767,-0.629465717059246,0.649465246546148
"30018",18,"< 27 Months",41,16,29,800,0.55,0.352088504355425,0.59170941473359,"Target","Kids","hearing","600_2500",-1.19555653494081,-0.524381394145831,-1.75688398987389,-1.10860381963315
"30019",29,">= 27 Months",76,18,23,833,0.78,1.17692027161561,0.778309061723343,"Target","Kids","deaf","600_2500",0.0117595724748277,0.955470714783798,-1.62541825488137,0.814284221500457
"30020",36,">= 27 Months",73,13,15,1133,0.87,1.00698629436657,0.744663103336573,"Target","Kids","hearing","600_2500",0.780051640830236,0.650587750047712,-0.430275209494821,0.649465246546148
"30024",21,"< 27 Months",57,11,18,1150,0.61,0.439205971223651,0.613757698240457,"Target","Kids","deaf","600_2500",-0.866288505645639,-0.368081682875273,-0.362550436922916,-0.229569286543503
"30025",26,"< 27 Months",56,10,12,1300,0.83,1.94919827367835,0.895114942528736,"Target","Kids","hearing","600_2500",-0.317508456820347,2.34103474783348,0.23502108577036,-0.284508944861606
"30026",36,">= 27 Months",50,17,21,1133,0.81,1.06359846650845,0.75618696437662,"Target","Kids","deaf","600_2500",0.780051640830236,0.752157119294399,-0.430275209494821,-0.614146894770225
"30028",27,">= 27 Months",60,7,12,1016.5,0.58,0.295411580691535,0.577179429765637,"Target","Kids","hearing","600_2500",-0.207752447055289,-0.626066935780887,-0.894389092119931,-0.0647503115891931
"30029",35,">= 27 Months",77,25,30,1133,0.83,0.970405369484786,0.737052935950393,"Target","Kids","deaf","600_2500",0.670295631065178,0.584956962071737,-0.430275209494821,0.86922387981856
"30031",25,"< 27 Months",62,14,17,1367,0.82,1.53678862051832,0.839997263273125,"Target","Kids","deaf","600_2500",-0.427264466585406,1.6011198716169,0.50193636590669,0.0451290050470132
"30036",42,">= 27 Months",75,15,18,1167,0.83,1.14301647087346,0.771824248548386,"Target","Kids","deaf","600_2500",1.43858769942059,0.894643024798414,-0.294825664351011,0.759344563182354
"30046",22,"< 27 Months",72,11,15,1366.5,0.73,0.553511139513389,0.642052439897267,"Target","Kids","hearing","600_2500",-0.756532495880581,-0.163003809944891,0.499944460831045,0.594525588228045
