Target,Neighbor,NumberMatchedFeatures,MatchedFeatures
cat,bird,3,"SelectedFingers, MajorLocation, SignType"
doll,bear,1,Movement
car,book,4,"SelectedFingers, MajorLocation, Movement, SignType"
ball,shoes,4,"SelectedFingers, MajorLocation, Movement, SignType"
