file_name,f0_sec,f0_frames,f0_tot_frames,f0_ms_1,f0_ms_2
ball_where_applause.mov,4,14,134,4422,4462
ball_where.mov,4,14,134,4422,4462
ball_which_applause.mov,2,7,67,2211,2231
ball_which.mov,2,7,67,2211,2231
bear_where_thumbs.mov,4,11,131,4323,4363
bear_where.mov,4,11,131,4323,4363
bear_which_expert.mov,2,0,60,1980,2000
bear_which.mov,2,0,60,1980,2000
bird which_thumbs.mov,2,8,68,2244,2264
bird which.mov,2,8,68,2244,2264
bird_where_applause.mov,4,10,130,4290,4330
bird_where.mov,4,10,130,4290,4330
bird_which.mov,2,8,68,2244,2264
book_where_thumbs.mov,4,10,130,4290,4330
book_where.mov,4,10,130,4290,4330
book_which_expert.mov,2,6,66,2178,2198
book_which.mov,2,6,66,2178,2198
car_where_expert.mov,3,27,117,3861,3891
car_where.mov,3,27,117,3861,3891
car_which_thanks.mov,2,0,60,1980,2000
car_which.mov,2,0,60,1980,2000
cat_where_applause.mov,4,4,124,4092,4132
cat_where.mov,4,4,124,4092,4132
cat_which_applause.mov,2,0,60,1980,2000
cat_which.mov,2,0,60,1980,2000
doll_where_expert.mov,4,1,121,3993,4033
doll_where.mov,4,1,121,3993,4033
doll_which_thanks.mov,1,25,55,1815,1825
doll_which.mov,1,25,55,1815,1825
love_ball_applause.mov,3,24,114,3762,3792
love_ball.mov,3,24,114,3762,3792
love_bear_thumbs.mov,3,25,115,3795,3825
love_bear.mov,3,25,115,3795,3825
love_bird_applause.mov,3,25,115,3795,3825
love_bird.mov,3,25,115,3795,3825
love_book_thumbs.mov,4,0,120,3960,4000
love_book.mov,4,0,120,3960,4000
love_car_expert.mov,3,25,115,3795,3825
love_car.mov,3,25,115,3795,3825
love_cat_applause.mov,3,27,117,3861,3891
love_cat.mov,3,27,117,3861,3891
love_doll_expert.mov,3,25,115,3795,3825
love_doll.mov,3,25,115,3795,3825
love_novel_3_expert.mov,3,10,100,3300,3330
love_novel_3.mov,3,10,100,3300,3330
love_novel_5_thanks.mov,3,25,115,3795,3825
love_novel_5.mov,3,25,115,3795,3825
love_shoes_thanks.mov,3,23,113,3729,3759
love_shoes.mov,3,23,113,3729,3759
novel_3_where_thumbs.mov,3,23,113,3729,3759
novel_3_where.mov,3,23,113,3729,3759
novel_3_which_expert.mov,2,7,67,2211,2231
novel_3_which.mov,2,7,67,2211,2231
novel_5_where_expert.mov,3,26,116,3828,3858
novel_5_where.mov,3,26,116,3828,3858
novel_5_which_applause.mov,2,19,79,2607,2627
novel_5.mov,2,19,79,2607,2627
shoes_where_thanks.mov,4,4,124,4092,4132
shoes_where.mov,4,4,124,4092,4132
shoes_which_thumbs.mov,2,0,60,1980,2000
shoes_which.mov,2,0,60,1980,2000
