id,age_months,phrases_comp,signs_produced
30001,24,20,61
30009,40,24,81
30010,40,24,76
30011,16,20,19
30013,25,24,63
30014,33,22,80
30015,21,17,41
30016,31,24,78
30018,18,17,41
30019,29,20,76
30020,36,24,73
30023,NA,NA,NA
30024,21,23,39
30025,13,4,0
30026,36,24,50
30028,27,23,60
30029,35,NA,77
30030,20,22,70
30031,17,21,39
30032,NA,NA,NA
30033,NA,NA,NA
30034,43,24,75
30035,17,24,20
30036,24,24,NA
30037,NA,NA,NA
