"Condition"	"group"	"mean"	"se"
"van"	"13"	0.491058937808943	NA
"van"	"14"	0.513464494819592	NA
"van"	"16"	0.541014462095289	0.0422776939892501
"van"	"17"	0.737398562808679	NA
"van"	"18"	0.613748401568523	NA
"van"	"20"	0.549780998742733	NA
"van"	"21"	0.630651768964478	0.0352578999037755
"van"	"24"	0.624870858018064	0.0696230604521762
"van"	"25"	0.650165422328922	NA
"van"	"27"	0.609498742570587	NA
"van"	"29"	0.708191018652569	NA
"van"	"31"	0.614047264291162	NA
"van"	"33"	0.562587590381148	NA
"van"	"35"	0.686181209974884	0.0212234265842468
"van"	"36"	0.705470320842238	NA
"van"	"39"	0.643306894292388	NA
"van"	"42"	0.713127759244804	NA
"van"	"44"	0.724095007653717	NA
