"","Sub.Num","van_D","Months","vanilla","age_months","phrases_comp","signs_produced"
"1","30009",1181.32,39,0.646033522230654,40,24,81
"2","30010",1344.07142857143,44,0.714859707870372,40,24,76
"3","30011",2108.25,16,0.505917415917416,16,20,19
"4","30013",1620.57142857143,25,0.650963772286611,25,24,63
"5","30014",1345.21428571429,33,0.580515649642759,33,22,80
"6","30015",1527.75,21,0.676084453791869,21,17,41
"7","30016",1552,31,0.610622645757254,31,24,78
"8","30018",1098.76923076923,18,0.609459761022766,18,17,41
"9","30019",869.904761904762,29,0.725651103648196,29,20,76
"10","30020",1202.35714285714,35,0.699997238677005,36,24,73
"11","30023",1591.75,14,0.492402460759247,NA,NA,NA
"12","30024",1279.61111111111,21,0.554126039787162,21,23,39
"13","30025",1300.14285714286,13,0.482299940204569,13,4,0
"14","30026",1123.7619047619,36,0.695740006759433,36,24,50
"15","30028",1419.93333333333,27,0.606490558868302,27,23,60
"16","30029",1117.82142857143,35,0.677849811388589,35,NA,77
"17","30030",1551.41666666667,20,0.542365355852779,20,22,70
"18","30031",1141.19047619048,17,0.739225131539055,17,21,39
"19","30032",1536.08333333333,24,0.546530633908144,NA,NA,NA
"20","30034",1006.33333333333,42,0.724512246125456,43,24,75
"21","30035",1455.6,16,0.584060610017036,17,24,20
"22","30036",994,24,0.705266921433341,24,24,NA
"23","30037",1135.64285714286,21,0.649766888888914,NA,NA,NA
