"Sub.Num"	"< 24 Months_D"	"< 24 Months_D_n"	"< 24 Months_D_sd"	"> 24 Months_D"	"> 24 Months_D_n"	"> 24 Months_D_sd"	"Adults_D"	"Adults_D_n"	"Adults_D_sd"
"30025"	NA	NA	NA	1255.55555555556	9	440.050596838338	NA	NA	NA
"30030"	NA	NA	NA	1203.4	10	486.486085218386	NA	NA	NA
"30049"	NA	NA	NA	1150.94117647059	17	346.008755414555	NA	NA	NA
"30051"	1258.375	8	408.408736964051	NA	NA	NA	NA	NA	NA
"30052"	NA	NA	NA	1204.46666666667	15	384.17831921177	NA	NA	NA
"30054"	NA	NA	NA	1450	4	291.408075843252	NA	NA	NA
"30057"	NA	NA	NA	859.222222222222	9	273.239719741557	NA	NA	NA
"30065"	NA	NA	NA	NA	NA	NA	1299.93333333333	15	480.77162185486
"30069"	NA	NA	NA	NA	NA	NA	637.375	8	353.365427001567
"30072"	NA	NA	NA	NA	NA	NA	1196.47368421053	19	487.15151286969
"30074"	NA	NA	NA	NA	NA	NA	668.625	16	419.899968246407
"30075"	NA	NA	NA	NA	NA	NA	727.411764705882	17	427.704199597036
"30076"	NA	NA	NA	NA	NA	NA	1272.22222222222	18	457.539655054851
"30078"	NA	NA	NA	NA	NA	NA	605.5	24	298.232182674185
"30079"	NA	NA	NA	NA	NA	NA	1103.88461538462	26	525.346386828582
"30081"	NA	NA	NA	NA	NA	NA	723.809523809524	21	415.655219989791
"30085"	1012.5	8	385.872665896037	NA	NA	NA	NA	NA	NA
