"trial","trial_in_block","block","gate","target_image","chosen_image","chosen_img_index","correct","rt","date","id","gender","age","asl_fluency","age_learned_asl","gate_name","gate_num"
"1","1","1","doll_which_1_24_5","doll","doll","1",TRUE,"3772","2015-04-27-10-22",11,"Male","27","[undefined]","0","doll_which","5"
"2","2","1","shoe_where_1_19_2","shoe","shoe","1",TRUE,"3168","2015-04-27-10-22",11,"Male","27","[undefined]","0","shoe_where","2"
"3","3","1","book_look_2_04_4","book","book","1",TRUE,"3606","2015-04-27-10-22",11,"Male","27","[undefined]","0","book_look","4"
"4","4","1","shoes_where_4_00_5","shoe","ball","0",FALSE,"5367","2015-04-27-10-22",11,"Male","27","[undefined]","0","shoes_where","5"
"5","5","1","bear_where_1_28_4","bear","bear","0",TRUE,"3603","2015-04-27-10-22",11,"Male","27","[undefined]","0","bear_where_1","4"
"6","6","1","car_where_1_21_2","car","car","1",TRUE,"4812","2015-04-27-10-22",11,"Male","27","[undefined]","0","car_where_1","2"
"7","7","1","cat_which_1_26_5","cat","cat","0",TRUE,"4005","2015-04-27-10-22",11,"Male","27","[undefined]","0","cat_which","5"
"8","8","1","bear_where_4_05_3","bear","bear","1",TRUE,"5366","2015-04-27-10-22",11,"Male","27","[undefined]","0","bear_where_4","3"
"9","9","1","love_shoes_3_15_3","shoe","shoe","0",TRUE,"5019","2015-04-27-10-22",11,"Male","27","[undefined]","0","love_shoes","3"
"10","10","1","love_doll_3_22_3","doll","doll","1",TRUE,"5593","2015-04-27-10-22",11,"Male","27","[undefined]","0","love_doll","3"
"11","11","1","love_ball_3_21_5","ball","shoe","1",FALSE,"5444","2015-04-27-10-22",11,"Male","27","[undefined]","0","love_ball","5"
"12","12","1","love_book_3_24_1","book","book","0",TRUE,"5440","2015-04-27-10-22",11,"Male","27","[undefined]","0","love_book","1"
"13","13","1","kitty_where_2_06_4","cat","cat","1",TRUE,"3381","2015-04-27-10-22",11,"Male","27","[undefined]","0","kitty_where","4"
"14","14","1","doll_find_2_03_6","doll","doll","0",TRUE,"3132","2015-04-27-10-22",11,"Male","27","[undefined]","0","doll_find","6"
"15","15","1","ball_where_4_07_2","ball","ball","0",TRUE,"5385","2015-04-27-10-22",11,"Male","27","[undefined]","0","ball_where_4","2"
"16","16","1","love_cat_3_25_5","cat","cat","1",TRUE,"5868","2015-04-27-10-22",11,"Male","27","[undefined]","0","love_cat","5"
"17","17","1","love_bear_3_17_1","bear","doll","0",FALSE,"5310","2015-04-27-10-22",11,"Male","27","[undefined]","0","love_bear","1"
"18","18","1","ball_which_2_03_4","ball","shoe","1",FALSE,"3942","2015-04-27-10-22",11,"Male","27","[undefined]","0","ball_which","4"
"19","19","1","bird_where_4_06_1","bird","cat","0",FALSE,"5661","2015-04-27-10-22",11,"Male","27","[undefined]","0","bird_where_4","1"
"20","20","1","cat_where_3_29_2","cat","cat","1",TRUE,"5039","2015-04-27-10-22",11,"Male","27","[undefined]","0","cat_where","2"
"21","21","1","book_where_2_00_1","book","car","0",FALSE,"3702","2015-04-27-10-22",11,"Male","27","[undefined]","0","book_where_2","1"
"22","22","1","shoe_hey_2_28_4","shoe","shoe","1",TRUE,"4318","2015-04-27-10-22",11,"Male","27","[undefined]","0","shoe_hey","4"
"23","23","1","shoes_which_1_26_5","shoe","ball","1",FALSE,"2615","2015-04-27-10-22",11,"Male","27","[undefined]","0","shoes_which","5"
"24","24","1","doll_where_1_24_1","doll","bear","1",FALSE,"2999","2015-04-27-10-22",11,"Male","27","[undefined]","0","doll_where_1","1"
"25","25","1","kitty_hey_3_05_6","cat","cat","0",TRUE,"4533","2015-04-27-10-22",11,"Male","27","[undefined]","0","kitty_hey","6"
"26","26","1","bear_which_1_27_5","bear","bear","1",TRUE,"2904","2015-04-27-10-22",11,"Male","27","[undefined]","0","bear_which","5"
"27","27","1","doll_where_3_26_1","doll","doll","0",TRUE,"5955","2015-04-27-10-22",11,"Male","27","[undefined]","0","doll_where_3","1"
"28","28","1","car_which_2_01_6","car","car","0",TRUE,"3148","2015-04-27-10-22",11,"Male","27","[undefined]","0","car_which","6"
"29","29","1","love_car_3_20_3","car","car","0",TRUE,"4824","2015-04-27-10-22",11,"Male","27","[undefined]","0","love_car","3"
"30","30","1","bear_look_2_00_4","bear","bear","1",TRUE,"3730","2015-04-27-10-22",11,"Male","27","[undefined]","0","bear_look","4"
"31","31","1","bird_where_1_27_3","bird","bird","0",TRUE,"3654","2015-04-27-10-22",11,"Male","27","[undefined]","0","bird_where_1","3"
"32","32","1","ball_where_1_21_1","ball","shoe","0",FALSE,"5543","2015-04-27-10-22",11,"Male","27","[undefined]","0","ball_where_1","1"
