gate,gate_decision,f0_sec,f0_frame,f0_tot_frames,f0_ms_1,f0_ms_2,f0_experimenter
p_ball_find_2_04_4,4,2,4,64,2112,2132,2198
p_ball_where_1_25_5,5,1,25,55,1815,1825,1891
p_bear_look_1_29_3,3,1,29,59,1947,1957,2099
p_bear_where_1_28_4,4,1,28,58,1914,1924,1957
p_bird_look_1_24_1,1,1,24,54,1782,1792,2000
p_bird_where_1_28_4,4,1,28,58,1914,1924,1957
p_book_look_2_05_5,5,2,5,65,2145,2165,2231
p_book_where_2_04_5,5,2,4,64,2112,2132,2231
p_car_where_1_23_4,4,1,23,53,1749,1759,1891
p_doll_find_1_28_1,1,1,28,58,1914,1924,2066
p_doll_where_1_27_4,4,1,27,57,1881,1891,1924
p_kitty_hey_3_04_5,5,3,4,94,3102,3132,3132
p_kitty_where_2_04_2,2,2,4,64,2112,2132,2297
p_shoe_hey_3_00_6,6,3,0,90,2970,3000,3033
p_shoe_where_1_23_6,6,1,23,53,1749,1759,1891
r_ball_where_4_09_4,4,4,9,129,4257,4297,4462
r_ball_which_2_03_4,4,2,3,63,2079,2099,2231
r_bear_where_4_07_5,5,4,7,127,4191,4231,4363
r_bear_which_1_25_3,3,1,25,55,1815,1825,2000
r_book_where_4_07_5,5,4,7,127,4191,4231,4330
r_book_which_1_28_2,2,1,28,58,1914,1924,2198
r_car_where_3_23_3,3,3,23,113,3729,3759,3891
r_car_which_2_01_6,6,2,1,61,2013,2033,2000
r_cat_where_4_02_5,5,4,2,122,4026,4066,4132
r_cat_which_1_24_3,3,1,24,54,1782,1792,2000
r_doll_where_4_00_5,5,4,0,120,3960,4000,4033
r_doll_which_1_23_4,4,1,23,53,1749,1759,1825
r_love_ball_3_22_6,6,3,22,112,3696,3726,3792
r_love_bear_3_22_6,6,3,22,112,3696,3726,3825
r_love_bird_3_24_6,6,3,24,114,3762,3792,3825
r_love_book_3_28_5,5,3,28,118,3894,3924,4000
r_love_car_3_21_4,4,3,21,111,3663,3693,3825
r_love_cat_3_23_3,3,3,23,113,3729,3759,3891
r_love_doll_3_22_3,3,3,22,112,3696,3726,3825
r_love_shoes_3_15_3,3,3,15,105,3465,3495,3759
r_shoes_where_4_01_6,6,4,1,121,3993,4033,4132
r_shoes_which_1_25_4,4,1,25,55,1815,1825,2000
r_bird_where_4_11_6,6,4,11,131,4323,4363,4330
