"Time.ms","hearing_status_participant","value_cat","mean_prop_looking","ci_low","ci_high"
"0","deaf","Distractor",0,0,0
"0","deaf","Signer",1,0,0
"0","deaf","Target",0,0,0
"0","hearing","Distractor",0,0,0
"0","hearing","Signer",1,0,0
"0","hearing","Target",0,0,0
"100","deaf","Distractor",0,0,0
"100","deaf","Signer",0.9921875,0.015625,0.0078125
"100","deaf","Target",0.0078125,0.0078125,0.015625
"100","hearing","Distractor",0.00699300699300699,0.00699300699300699,0.013986013986014
"100","hearing","Signer",0.993006993006993,0.013986013986014,0.00699300699300698
"100","hearing","Target",0,0,0
"1000","deaf","Distractor",0.0703618328158769,0.0328823390151515,0.0346955223850904
"1000","deaf","Signer",0.745127957214354,0.0895477041341012,0.0736514699301923
"1000","deaf","Target",0.184510209969769,0.0714786711960425,0.0843423044480029
"1000","hearing","Distractor",0.103328082174236,0.0487198218448218,0.0529916397704859
"1000","hearing","Signer",0.673373421450345,0.105861937208091,0.100586833038756
"1000","hearing","Target",0.223298496375419,0.0864514758745528,0.0913023194753963
"1033","deaf","Distractor",0.068963254238022,0.031587623084636,0.0368529172428771
"1033","deaf","Signer",0.723202363619353,0.084143283952567,0.0794708190658027
"1033","deaf","Target",0.207834382142625,0.068149626068913,0.0822055725008994
"1033","hearing","Distractor",0.103952713952714,0.0537302697302697,0.0530440392940393
"1033","hearing","Signer",0.635078255078255,0.107487345987346,0.0987770562770562
"1033","hearing","Target",0.260969030969031,0.0912854645354645,0.0843110223110223
"1067","deaf","Distractor",0.0697186174571043,0.02976640820802,0.0342420014880953
"1067","deaf","Signer",0.697689330954134,0.0818026970288483,0.0735381696154723
"1067","deaf","Target",0.232592051588762,0.0699639926274384,0.093716949511563
"1067","hearing","Distractor",0.107812450707188,0.0549154726852095,0.0545038645564961
"1067","hearing","Signer",0.611309479993691,0.122478442610022,0.115441039223934
"1067","hearing","Target",0.280878069299122,0.0972616856827383,0.110577816919922
"1100","deaf","Distractor",0.0699778197020844,0.0271584129718321,0.0345770874091186
"1100","deaf","Signer",0.678145652686094,0.0996060450816885,0.0841906587931405
"1100","deaf","Target",0.251876527611822,0.074077872656687,0.0900180481878551
"1100","hearing","Distractor",0.108841976736714,0.0518427960927961,0.0548040775014459
"1100","hearing","Signer",0.601753550093631,0.115710338918841,0.12583470578005
"1100","hearing","Target",0.289404473169655,0.102734673221515,0.112773255871434
"1133","deaf","Distractor",0.0663983007733008,0.0307721481354294,0.0328463875534188
"1133","deaf","Signer",0.654949130730381,0.0847424428869742,0.0840297202797203
"1133","deaf","Target",0.278652568496318,0.0774703631148944,0.0909531267343767
"1133","hearing","Distractor",0.111112221112221,0.0597323232323232,0.0606442446442446
"1133","hearing","Signer",0.587929421006344,0.124848995022072,0.113075684998762
"1133","hearing","Target",0.300958357881435,0.100171023421023,0.102945370868448
"1167","deaf","Distractor",0.0616780788655789,0.0272014400530025,0.0302199363136863
"1167","deaf","Signer",0.63898646798463,0.0959136214581987,0.0995396317581519
"1167","deaf","Target",0.299335453149791,0.0812451151789387,0.092373860820552
"1167","hearing","Distractor",0.117240946188315,0.059306884635832,0.0670761256287572
"1167","hearing","Signer",0.568798745114535,0.123099214382109,0.132478979353979
"1167","hearing","Target",0.313960308697151,0.108604830841673,0.10935247135905
"1200","deaf","Distractor",0.0560055943690812,0.0260522325581947,0.025746632639108
"1200","deaf","Signer",0.597040541695147,0.0968021260537708,0.100428254585327
"1200","deaf","Target",0.346953863935772,0.0878842480847004,0.0837560031114719
"1200","hearing","Distractor",0.114614796967738,0.0609508873479462,0.0680885780885781
"1200","hearing","Signer",0.533086194850901,0.127320343055637,0.126283251062663
"1200","hearing","Target",0.352299008181361,0.109300870697929,0.105848587686823
"1233","deaf","Distractor",0.0586593404230788,0.025631027453154,0.0246072830194831
"1233","deaf","Signer",0.572883772520479,0.0956752375228938,0.0913126899397579
"1233","deaf","Target",0.368456887056442,0.0858553784241429,0.0893889003918875
"1233","hearing","Distractor",0.118381821470549,0.0607357706396168,0.0683660836343798
"1233","hearing","Signer",0.522850054179977,0.128879914541925,0.126364505196642
"1233","hearing","Target",0.358768124349474,0.114606388649277,0.112745322938368
"1267","deaf","Distractor",0.0686174123756361,0.029907022231241,0.0350010769110276
"1267","deaf","Signer",0.549685567539186,0.089364681576647,0.103112886679293
"1267","deaf","Target",0.381697020085178,0.0828695944269546,0.0858080903471528
"1267","hearing","Distractor",0.113264351092198,0.0512533071428952,0.0553171056632155
"1267","hearing","Signer",0.524188652396714,0.132975977771568,0.139083735750256
"1267","hearing","Target",0.362546996511087,0.118665494497874,0.108635813813599
"1300","deaf","Distractor",0.0694189399244546,0.0320372136544012,0.0375452662125456
"1300","deaf","Signer",0.530259150571651,0.094686259920635,0.0957704142262965
"1300","deaf","Target",0.400321909503895,0.0851165652923465,0.0896718091957062
"1300","hearing","Distractor",0.117650922685248,0.0564308450893119,0.0664617943079041
"1300","hearing","Signer",0.489427836338591,0.132186789818369,0.125456276814972
"1300","hearing","Target",0.392921240976161,0.105924121962451,0.0988435598218207
"133","deaf","Distractor",0.00284090909090909,0.00284090909090909,0.00568181818181818
"133","deaf","Signer",0.989346590909091,0.0184659090909091,0.0106534090909091
"133","deaf","Target",0.0078125,0.0078125,0.015625
"133","hearing","Distractor",0.00699300699300699,0.00699300699300699,0.013986013986014
"133","hearing","Signer",0.993006993006993,0.013986013986014,0.00699300699300698
"133","hearing","Target",0,0,0
"1333","deaf","Distractor",0.0636948529411765,0.0271042323179272,0.0273346682422969
"1333","deaf","Signer",0.516023284313725,0.0975989145658263,0.0994918592436975
"1333","deaf","Target",0.420281862745098,0.0898982405462185,0.085719100140056
"1333","hearing","Distractor",0.102223631069785,0.0503617216117216,0.0623149713534329
"1333","hearing","Signer",0.466521332918094,0.111106890747579,0.100243736807502
"1333","hearing","Target",0.431255036012121,0.075320441760219,0.0799419375608647
