"Time.ms","age_group_collapsed","value_cat","mean_prop_looking","ci_low","ci_high"
"0","Adults","Distractor",0,0,0
"0","Adults","Signer",1,0,0
"0","Adults","Target",0,0,0
"0","Kids","Distractor",0,0,0
"0","Kids","Signer",1,0,0
"0","Kids","Target",0,0,0
"100","Adults","Distractor",0,0,0
"100","Adults","Signer",0.983287545787546,0.0182005494505495,0.0167124542124542
"100","Adults","Target",0.0167124542124542,0.0167124542124542,0.0196972298534798
"100","Kids","Distractor",0.00313479623824451,0.00313479623824451,0.00634796238244507
"100","Kids","Signer",0.992554858934169,0.0117554858934169,0.00744514106583072
"100","Kids","Target",0.00431034482758621,0.00431034482758621,0.00862068965517241
"1000","Adults","Distractor",0.0187096505238739,0.0130840518648701,0.0145482527913756
"1000","Adults","Signer",0.287541382204513,0.107331479914142,0.101093746974258
"1000","Adults","Target",0.693748967271613,0.0982620990722605,0.0996609993035367
"1000","Kids","Distractor",0.0851398066661758,0.0285380092777405,0.0287223030941337
"1000","Kids","Signer",0.712962130837384,0.0679059268289746,0.0665221369373246
"1000","Kids","Target",0.20189806249644,0.0623411548728486,0.0672972284927153
"1033","Adults","Distractor",0.018702677912537,0.0125702327714712,0.0162218098950611
"1033","Adults","Signer",0.278105211012101,0.10070034806253,0.103944123149707
"1033","Adults","Target",0.703192111075362,0.106910872282201,0.10147242221356
"1033","Kids","Distractor",0.0846481844549529,0.0309828381046554,0.0335071957796483
"1033","Kids","Signer",0.683698452894033,0.0700515480969335,0.0670838187869922
"1033","Kids","Target",0.231653362651014,0.060866393979317,0.0644454488831691
"1067","Adults","Distractor",0.0152902958274295,0.00946212890993943,0.0100325076084041
"1067","Adults","Signer",0.268796627925959,0.0981004135578325,0.111169771126559
"1067","Adults","Target",0.715913076246612,0.105637928942516,0.101165494399655
"1067","Kids","Distractor",0.0867951633967968,0.0298122510429679,0.0330242322710562
"1067","Kids","Signer",0.658967328799452,0.0718969417228265,0.0689805391221
"1067","Kids","Target",0.254237507803751,0.0611552999329769,0.066511424525263
"1100","Adults","Distractor",0.0128034547152194,0.00888188608776844,0.0109652194211018
"1100","Adults","Signer",0.255367986405639,0.109387235045751,0.123895925380776
"1100","Adults","Target",0.731828558879142,0.112508131594243,0.106502388240868
"1100","Kids","Distractor",0.0873996832003665,0.0313713145383771,0.0326266075752237
"1100","Kids","Signer",0.643900917041197,0.0786126679211445,0.0689052227047315
"1100","Kids","Target",0.268699399758437,0.0654012522298526,0.0685634819723709
"1133","Adults","Distractor",0.00945559258186033,0.00761735728774268,0.00919117647058824
"1133","Adults","Signer",0.241822112661679,0.110673442981228,0.115491805014521
"1133","Adults","Target",0.748722294756461,0.116315958524868,0.109147251335389
"1133","Kids","Distractor",0.0864424719597133,0.0329637961814686,0.035475096024665
"1133","Kids","Signer",0.624905812578226,0.0738334555769902,0.0742548371169059
"1133","Kids","Target",0.28865171546206,0.0660235091377333,0.070163492557889
"1167","Adults","Distractor",0.00721104231166151,0.00721104231166151,0.00798616486068111
"1167","Adults","Signer",0.240337976321351,0.108791816878862,0.118939347509369
"1167","Adults","Target",0.752450981366988,0.12353385555631,0.109938398594285
