"trial","trial_in_block","block","gate","target_image","chosen_image","chosen_img_index","correct","rt","date","id","gender","age","asl_fluency","age_learned_asl","gate_name","gate_num"
"18","18","1","p_ball_find_2_06_6","ball","ball","0",TRUE,"5689","2015-05-08-11-28",20,"Female","47","2","13","p_ball_find_2","6"
"19","19","1","r_love_shoes_3_14_2","shoe","ball","0",FALSE,"7677","2015-05-08-11-28",20,"Female","47","2","13","r_love_shoes_3","2"
"20","20","1","r_cat_which_1_27_6","cat","cat","0",TRUE,"4423","2015-05-08-11-28",20,"Female","47","2","13","r_cat_which_1","6"
"21","21","1","p_car_where_1_21_2","car","car","1",TRUE,"5621","2015-05-08-11-28",20,"Female","47","2","13","p_car_where_1","2"
"22","22","1","r_shoes_which_1_23_2","shoe","shoe","0",TRUE,"6372","2015-05-08-11-28",20,"Female","47","2","13","r_shoes_which_1","2"
"23","23","1","r_book_where_4_06_4","book","book","1",TRUE,"7536","2015-05-08-11-28",20,"Female","47","2","13","r_book_where_4","4"
"24","24","1","r_love_bird_3_19_1","bird","bird","1",TRUE,"8889","2015-05-08-11-28",20,"Female","47","2","13","r_love_bird_3","1"
"25","25","1","r_ball_where_4_10_5","ball","ball","1",TRUE,"7490","2015-05-08-11-28",20,"Female","47","2","13","r_ball_where_4","5"
"26","26","1","r_love_book_3_28_5","book","book","0",TRUE,"9370","2015-05-08-11-28",20,"Female","47","2","13","r_love_book_3","5"
"27","27","1","p_doll_where_1_27_4","doll","doll","0",TRUE,"5313","2015-05-08-11-28",20,"Female","47","2","13","p_doll_where_1","4"
"28","28","1","r_car_where_3_22_2","car","car","1",TRUE,"7230","2015-05-08-11-28",20,"Female","47","2","13","r_car_where_3","2"
"29","29","1","p_bird_look_1_26_3","bird","bird","0",TRUE,"5119","2015-05-08-11-28",20,"Female","47","2","13","p_bird_look_1","3"
"30","30","1","r_ball_which_2_01_2","ball","shoe","1",FALSE,"8672","2015-05-08-11-28",20,"Female","47","2","13","r_ball_which_2","2"
"31","31","1","r_book_which_1_28_2","book","book","0",TRUE,"8089","2015-05-08-11-28",20,"Female","47","2","13","r_book_which_1","2"
"32","32","1","r_doll_which_1_25_6","doll","doll","0",TRUE,"5573","2015-05-08-11-28",20,"Female","47","2","13","r_doll_which_1","6"
"33","33","1","r_love_bear_3_19_3","bear","bear","1",TRUE,"7352","2015-05-08-11-28",20,"Female","47","2","13","r_love_bear_3","3"
"34","34","1","r_doll_where_4_01_6","doll","doll","0",TRUE,"7266","2015-05-08-11-28",20,"Female","47","2","13","r_doll_where_3","6"
"35","35","1","r_car_which_1_27_2","car","book","1",FALSE,"6322","2015-05-08-11-28",20,"Female","47","2","13","r_car_which_1","2"
"36","36","1","p_book_where_2_02_3","book","car","0",FALSE,"5773","2015-05-08-11-28",20,"Female","47","2","13","p_book_where_2","3"
"37","37","1","p_bird_where_1_27_3","bird","bird","0",TRUE,"5799","2015-05-08-11-28",20,"Female","47","2","13","p_bird_where_1","3"
"38","38","1","r_bird_where_4_08_3","bird","bird","0",TRUE,"7643","2015-05-08-11-28",20,"Female","47","2","13","r_bird_where_4","3"
"39","1","2","r_love_doll_3_21_2","doll","doll","0",TRUE,"9135","2015-05-08-11-28",20,"Female","47","2","13","r_love_doll_3","2"
"40","2","2","r_car_which_2_00_5","car","car","1",TRUE,"4690","2015-05-08-11-28",20,"Female","47","2","13","r_car_which_1","5"
"41","3","2","r_cat_where_3_29_2","cat","cat","1",TRUE,"7818","2015-05-08-11-28",20,"Female","47","2","13","r_cat_where_3","2"
"42","4","2","r_doll_which_1_21_2","doll","doll","1",TRUE,"7726","2015-05-08-11-28",20,"Female","47","2","13","r_doll_which_1","2"
"43","5","2","r_love_ball_3_19_3","ball","shoe","1",FALSE,"8092","2015-05-08-11-28",20,"Female","47","2","13","r_love_ball_3","3"
"44","6","2","r_car_where_3_26_6","car","car","1",TRUE,"7664","2015-05-08-11-28",20,"Female","47","2","13","r_car_where_3","6"
"45","7","2","r_shoes_which_1_26_5","shoe","shoe","1",TRUE,"4416","2015-05-08-11-28",20,"Female","47","2","13","r_shoes_which_1","5"
"46","8","2","p_doll_where_1_28_5","doll","doll","0",TRUE,"5463","2015-05-08-11-28",20,"Female","47","2","13","p_doll_where_1","5"
"47","9","2","p_bear_where_1_28_4","bear","bear","0",TRUE,"6439","2015-05-08-11-28",20,"Female","47","2","13","p_bear_where_1","4"
"48","10","2","p_kitty_where_2_03_1","cat","bird","0",FALSE,"6063","2015-05-08-11-28",20,"Female","47","2","13","p_kitty_where_2","1"
"49","11","2","p_shoe_hey_3_00_6","shoe","shoe","1",TRUE,"6273","2015-05-08-11-28",20,"Female","47","2","13","p_shoe_hey_2","6"
"50","12","2","p_ball_find_2_05_5","ball","ball","0",TRUE,"5364","2015-05-08-11-28",20,"Female","47","2","13","p_ball_find_2","5"
"51","13","2","r_book_which_2_00_4","book","book","0",TRUE,"6044","2015-05-08-11-28",20,"Female","47","2","13","r_book_which_1","4"
"52","14","2","r_ball_where_4_06_1","ball","ball","0",TRUE,"8763","2015-05-08-11-28",20,"Female","47","2","13","r_ball_where_4","1"
"53","15","2","p_book_where_2_01_2","book","car","0",FALSE,"12361","2015-05-08-11-28",20,"Female","47","2","13","p_book_where_2","2"
"54","16","2","p_kitty_hey_3_04_5","cat","cat","1",TRUE,"6956","2015-05-08-11-28",20,"Female","47","2","13","p_kitty_hey_3","5"
"55","17","2","r_love_car_3_22_5","car","car","0",TRUE,"7984","2015-05-08-11-28",20,"Female","47","2","13","r_love_car_3","5"
"56","18","2","r_doll_where_3_26_1","doll","doll","0",TRUE,"10269","2015-05-08-11-28",20,"Female","47","2","13","r_doll_where_3","1"
"57","19","2","p_bird_where_1_28_4","bird","bird","0",TRUE,"5597","2015-05-08-11-28",20,"Female","47","2","13","p_bird_where_1","4"
"58","20","2","r_love_shoes_3_17_5","shoe","ball","1",FALSE,"10101","2015-05-08-11-28",20,"Female","47","2","13","r_love_shoes_3","5"
