"Sub.Num"	"vanilla"	"vanilla_n"	"vanilla_sd"
"30013"	0.50432105634064	19	0.0764140957395044
"30017"	0.622800139137348	20	0.162258293336775
"30024"	0.592140769078754	27	0.135473535634636
"30025"	0.561489898989899	12	0.14179309794282
"30030"	0.510226185818008	17	0.171509493223752
"30031"	0.593720689033189	16	0.143389073412473
"30041"	0.509274059301131	11	0.2133913180015
"30048"	0.516378066378066	11	0.254454634675991
"30049"	0.569110540622168	19	0.170950264166718
"30050"	0.416666666666667	6	0.204124145231932
"30051"	0.511075875029363	13	0.143508675390447
"30052"	0.512886022202883	20	0.102719902719275
"30057"	0.513611111111111	5	0.323191191551218
