"Sub.Num"	"van"	"van_n"	"van_sd"
"1"	0.88588545752646	36	0.0536782943927101
"10"	0.695622189285626	26	0.0747479092836615
"11"	0.658034661582054	22	0.0959925153677971
"2"	0.768566984784515	36	0.0783136023437034
"30002"	0.581769157608464	36	0.154152578331062
"30004"	0.739517666779194	40	0.109093054518286
"30038"	0.670503412845707	32	0.0794325445904186
"30039"	0.570091298615879	32	0.0386564151255736
"5"	0.897954143140439	36	0.0801060761549032
"6"	0.677845065335162	36	0.158673315512667
"9"	0.846777839087488	36	0.0664315929563764
