"Sub.Num"	"vanilla-2"	"vanilla-2_n"	"vanilla-2_sd"
"30025"	0.603768453768454	13	0.126443744740419
"30030"	0.59233687970851	19	0.131324446700329
"30049"	0.644089357025403	20	0.109001114218609
"30050"	0.560569898096642	9	0.174619660671305
"30051"	0.530753871451546	13	0.140367448187235
"30052"	0.540465032340032	20	0.0948818668265005
"30054"	0.546527777777778	8	0.0945581714893772
"30057"	0.712596703468797	15	0.184606595285208
"30065"	0.568904446248196	32	0.138970258158702
"30069"	0.74815479637095	24	0.150856294200382
"30072"	0.576725850285832	31	0.121597341877168
"30074"	0.916594839269258	26	0.129682022605943
"30075"	0.795811789301012	25	0.137432884129055
"30076"	0.583436367411658	32	0.13171647163148
"30077"	0.501957070707071	28	0.0345339246959068
"30078"	0.727030458078316	31	0.101772514209988
"30079"	0.685130321067821	32	0.211968179893456
"30081"	0.797940760386255	32	0.0834460319051455
"30085"	0.556122059465083	12	0.118968606601662
