"Sub.Num"	"< 24 Months"	"< 24 Months_n"	"< 24 Months_sd"	"> 24 Months"	"> 24 Months_n"	"> 24 Months_sd"	"Adults"	"Adults_n"	"Adults_sd"
"30025"	NA	NA	NA	0.603768453768454	13	0.126443744740419	NA	NA	NA
"30030"	NA	NA	NA	0.59233687970851	19	0.131324446700329	NA	NA	NA
"30049"	NA	NA	NA	0.644089357025403	20	0.109001114218609	NA	NA	NA
"30050"	0.560569898096642	9	0.174619660671305	NA	NA	NA	NA	NA	NA
"30051"	0.530753871451546	13	0.140367448187235	NA	NA	NA	NA	NA	NA
"30052"	NA	NA	NA	0.540465032340032	20	0.0948818668265005	NA	NA	NA
"30054"	NA	NA	NA	0.546527777777778	8	0.0945581714893772	NA	NA	NA
"30057"	NA	NA	NA	0.712290747128568	19	0.164783721216863	NA	NA	NA
"30065"	NA	NA	NA	NA	NA	NA	0.568904446248196	32	0.138970258158702
"30069"	NA	NA	NA	NA	NA	NA	0.74815479637095	24	0.150856294200382
"30072"	NA	NA	NA	NA	NA	NA	0.576725850285832	31	0.121597341877168
"30074"	NA	NA	NA	NA	NA	NA	0.916594839269258	26	0.129682022605943
"30075"	NA	NA	NA	NA	NA	NA	0.795811789301012	25	0.137432884129055
"30076"	NA	NA	NA	NA	NA	NA	0.583436367411658	32	0.13171647163148
"30078"	NA	NA	NA	NA	NA	NA	0.727030458078316	31	0.101772514209988
"30079"	NA	NA	NA	NA	NA	NA	0.685130321067821	32	0.211968179893456
"30080"	NA	NA	NA	NA	NA	NA	0.583262157530725	31	0.0848625080823186
"30081"	NA	NA	NA	NA	NA	NA	0.797940760386255	32	0.0834460319051455
"30083"	NA	NA	NA	NA	NA	NA	0.530702480490742	22	0.0713537255454855
"30085"	0.556122059465083	12	0.118968606601662	NA	NA	NA	NA	NA	NA
"30086"	0.468124853182993	10	0.167439448834453	NA	NA	NA	NA	NA	NA
"30088"	0.53140589569161	7	0.0968013860666842	NA	NA	NA	NA	NA	NA
